topic,keyword,count
Modern & Everyday Racism,toeslagenaffair,35
Modern & Everyday Racism,allochton,35
Modern & Everyday Racism,witheid,33
Modern & Everyday Racism,systemisch,31
Modern & Everyday Racism,politiegeweld,28
Modern & Everyday Racism,achterstell,27
Modern & Everyday Racism,11}?\W+uitsluit(?!\w),26
Modern & Everyday Racism,achtergesteld,19
Modern & Everyday Racism,autochton,18
Modern & Everyday Racism,(?<!\w)uitsluit(?:\W+\w+){0,17
Modern & Everyday Racism,11}?\W+politiegeweld(?!\w),15
Modern & Everyday Racism,(?<!\w)stereotyper(?:\W+\w+){0,14
Modern & Everyday Racism,gelijk kans,13
Modern & Everyday Racism,11}?\W+stereotyper(?!\w),13
Modern & Everyday Racism,(?<!\w)politie(?:\W+\w+){0,11
Modern & Everyday Racism,12}?\W+(geweld|profileren|bias)(?!\w),11
Modern & Everyday Racism,microagressie,11
Modern & Everyday Racism,(?<!\w)migrant(?:\W+\w+){0,9
Modern & Everyday Racism,11}?\W+migrant(?!\w),7
Modern & Everyday Racism,(?<!\w)microagressie(?:\W+\w+){0,5
Modern & Everyday Racism,11}?\W+microagressie(?!\w),3
Modern & Everyday Racism,(?<!\w)politiegeweld(?:\W+\w+){0,3
Reparations and Remembrance,geschiedenis,1376
Reparations and Remembrance,slavernijverled,1182
Reparations and Remembrance,excuses,682
Reparations and Remembrance,erkenn,568
Reparations and Remembrance,verhal,477
Reparations and Remembrance,onderwijs,423
Reparations and Remembrance,emancipatie,418
Reparations and Remembrance,archief,384
Reparations and Remembrance,nazat,293
Reparations and Remembrance,herdenk,252
Reparations and Remembrance,juridisch,219
Reparations and Remembrance,museum,214
Reparations and Remembrance,adviescolleg,202
Reparations and Remembrance,bronn,196
Reparations and Remembrance,monument,181
Reparations and Remembrance,herinner,160
Reparations and Remembrance,keti koti,153
Reparations and Remembrance,wetgev,150
Reparations and Remembrance,compensatie,114
Reparations and Remembrance,tentoonstell,108
Reparations and Remembrance,oral,96
Reparations and Remembrance,erfgoed,92
Reparations and Remembrance,11}?\W+geschiedenis(?!\w),81
Reparations and Remembrance,dialooggroep,74
Reparations and Remembrance,schadevergoed,72
Reparations and Remembrance,(?<!\w)onderwijs(?:\W+\w+){0,69
Reparations and Remembrance,(?<!\w)oral(?:\W+\w+){0,66
Reparations and Remembrance,diaspora,59
Reparations and Remembrance,12}?\W+(slavernijverled|koloniaal verleden)(?!\w),58
Reparations and Remembrance,herstelbetal,57
Reparations and Remembrance,reparation,56
Reparations and Remembrance,curriculum,53
Reparations and Remembrance,(?<!\w)geschiedenis(?:\W+\w+){0,51
Reparations and Remembrance,(?<!\w)slavernijverled(?:\W+\w+){0,41
Reparations and Remembrance,(?<!\w)bronn(?:\W+\w+){0,38
Reparations and Remembrance,11}?\W+bronn(?!\w),37
Reparations and Remembrance,claim,35
Reparations and Remembrance,11}?\W+slavernijverled(?!\w),34
Reparations and Remembrance,publiek ruimt,32
Reparations and Remembrance,erk,32
Reparations and Remembrance,11}?\W+verhal(?!\w),29
Reparations and Remembrance,(?<!\w)emancipatie(?:\W+\w+){0,29
Reparations and Remembrance,11}?\W+oral(?!\w),25
Reparations and Remembrance,(?<!\w)archief(?:\W+\w+){0,22
Reparations and Remembrance,11}?\W+archief(?!\w),22
Reparations and Remembrance,rechtsherstel,21
Reparations and Remembrance,reparatie,18
Reparations and Remembrance,11}?\W+emancipatie(?!\w),18
Reparations and Remembrance,(?<!\w)herinner(?:\W+\w+){0,16
Reparations and Remembrance,11}?\W+erfgoed(?!\w),15
Reparations and Remembrance,herinneringscultur,15
Reparations and Remembrance,(?<!\w)erfgoed(?:\W+\w+){0,14
Reparations and Remembrance,11}?\W+herinner(?!\w),13
Reparations and Remembrance,(?<!\w)tentoonstell(?:\W+\w+){0,13
Reparations and Remembrance,11}?\W+nazat(?!\w),13
Reparations and Remembrance,slavernijherdenk,12
Reparations and Remembrance,(?<!\w)nazat(?:\W+\w+){0,12
Reparations and Remembrance,11}?\W+onderwijs(?!\w),10
Reparations and Remembrance,(?<!\w)juridisch(?:\W+\w+){0,9
Reparations and Remembrance,11}?\W+juridisch(?!\w),9
Reparations and Remembrance,11}?\W+excuses(?!\w),8
Reparations and Remembrance,(?<!\w)excuses(?:\W+\w+){0,8
Reparations and Remembrance,11}?\W+herdenk(?!\w),7
Reparations and Remembrance,11}?\W+diaspora(?!\w),5
Reparations and Remembrance,symbolisch datum,5
Reparations and Remembrance,11}?\W+tentoonstell(?!\w),5
Reparations and Remembrance,11}?\W+reparation(?!\w),5
Reparations and Remembrance,(?<!\w)herdenk(?:\W+\w+){0,5
Reparations and Remembrance,(?<!\w)verhal(?:\W+\w+){0,5
Reparations and Remembrance,12}?\W+(herdenking|excuses|erkenning|adviescollege)(?!\w),4
Reparations and Remembrance,11}?\W+dialooggroep(?!\w),3
Reparations and Remembrance,gedenktek,3
Reparations and Remembrance,(?<!\w)diaspora(?:\W+\w+){0,3
