topic,term,cosine,df
Modern racism& inequality,etnisch,0.6835,30
Modern racism& inequality,arbeidskrachten,0.6783,7
Modern racism& inequality,generaties,0.6639,35
Modern racism& inequality,gelijkheid,0.6543,26
Modern racism& inequality,arbeiden,0.647,14
Modern racism& inequality,compagnie,0.6453,127
Modern racism& inequality,verzameling,0.6392,8
Modern racism& inequality,markt,0.6358,21
Modern racism& inequality,etnische,0.6133,75
Modern racism& inequality,buitenhuis,0.6123,6
Modern racism& inequality,menselijkheid,0.6108,47
Modern racism& inequality,sector,0.6106,27
Modern racism& inequality,huis,0.6041,81
Modern racism& inequality,menschelijkheid,0.6026,5
Modern racism& inequality,georganiseerde,0.5997,6
Modern racism& inequality,gebouwen,0.5974,13
Modern racism& inequality,nederzetting,0.5971,8
Modern racism& inequality,verbieden,0.5958,6
Modern racism& inequality,meerderheid,0.5945,47
Modern racism& inequality,arbeider,0.5941,5
Modern racism& inequality,georganiseerd,0.5928,46
Modern racism& inequality,fascisme,0.5922,6
Modern racism& inequality,verbouwen,0.5898,18
Modern racism& inequality,kolonisatie,0.586,23
Modern racism& inequality,vertegenwoordiging,0.5855,9
Modern racism& inequality,culturele,0.5855,165
Modern racism& inequality,verspreiding,0.5854,6
Modern racism& inequality,heritage,0.5833,18
Modern racism& inequality,exploitatie,0.5826,19
Modern racism& inequality,mogendheid,0.5823,8
Modern racism& inequality,nationalistische,0.5789,6
Modern racism& inequality,verspreiden,0.5777,10
Modern racism& inequality,afschaffing,0.5738,265
Modern racism& inequality,bouwen,0.5732,33
Modern racism& inequality,afwezigheid,0.5727,10
Modern racism& inequality,gemeenschappen,0.5726,66
Modern racism& inequality,werkgelegenheid,0.5695,13
Modern racism& inequality,overnamen,0.5694,5
Modern racism& inequality,woonden,0.5683,43
Modern racism& inequality,huren,0.5677,6
Modern racism& inequality,contractarbeiders,0.5671,13
Modern racism& inequality,werkgroep,0.5666,12
Modern racism& inequality,thuis,0.5664,27
Modern racism& inequality,woonde,0.5661,40
Modern racism& inequality,werkgevers,0.5642,8
Modern racism& inequality,samenstelling,0.5626,12
Modern racism& inequality,inwoners,0.5619,54
Modern racism& inequality,vereenigen,0.5616,13
Modern racism& inequality,industrie,0.5612,18
Modern racism& inequality,verdeling,0.5601,6
Modern racism& inequality,verspreid,0.5576,6
Modern racism& inequality,koningshuis,0.5572,8
Modern racism& inequality,bouwde,0.5567,8
Modern racism& inequality,huishoudens,0.5564,12
Modern racism& inequality,armoede,0.5558,21
Modern racism& inequality,opbouwen,0.5555,7
Modern racism& inequality,arbeiders,0.5555,61
Modern racism& inequality,overname,0.5551,5
Modern racism& inequality,omgekeerd,0.5547,7
Modern racism& inequality,woningmarkt,0.5546,8
Modern racism& inequality,inventarisatie,0.5538,6
Modern racism& inequality,oprichting,0.553,58
Modern racism& inequality,reproduceren,0.5527,5
Modern racism& inequality,onmacht,0.5522,5
Modern racism& inequality,billijkheid,0.552,6
Reparations,herstelbetalingen,1.0,18
Reparations,schadevergoeding,1.0,24
Reparations,excuses,1.0,164
Reparations,excuus,0.9211,35
Reparations,sorry,0.7798,11
Reparations,afschaffing,0.7028,265
Reparations,schade,0.701,32
Reparations,herstel,0.7003,76
Reparations,excuseswet,0.6943,6
Reparations,teruggave,0.6933,5
Reparations,betalingen,0.6731,5
Reparations,aansprakelijkheid,0.666,14
Reparations,reconstructie,0.6657,5
Reparations,constitutie,0.6583,12
Reparations,eerherstel,0.6494,7
Reparations,verschaffen,0.6487,6
Reparations,vergoeding,0.648,33
Reparations,vervangen,0.6451,25
Reparations,herstelmaatregelen,0.6439,6
Reparations,onttrekken,0.6439,5
Reparations,omgekeerd,0.6352,7
Reparations,ontslag,0.6305,17
Reparations,verwerven,0.6247,8
