topic,keyword,is_regex,group,weight
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)emancipatie(?:\W+\w+){0,11}?\W+arbeid(?!\w)",True,pair,1.45
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)emancipatie(?:\W+\w+){0,11}?\W+handel(?!\w)",True,pair,1.45
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)handel(?:\W+\w+){0,11}?\W+emancipatie(?!\w)",True,pair,1.45
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)emancipatie(?:\W+\w+){0,11}?\W+plantag(?!\w)",True,pair,1.45
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)plantag(?:\W+\w+){0,11}?\W+emancipatie(?!\w)",True,pair,1.45
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)emancipatie(?:\W+\w+){0,11}?\W+suiker(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)suiker(?:\W+\w+){0,11}?\W+emancipatie(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)emancipatie(?:\W+\w+){0,11}?\W+slavernij(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)slavernij(?:\W+\w+){0,11}?\W+emancipatie(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)emancipatie(?:\W+\w+){0,11}?\W+staatstoezicht(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)staatstoezicht(?:\W+\w+){0,11}?\W+emancipatie(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)emancipatie(?:\W+\w+){0,11}?\W+meester(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)meester(?:\W+\w+){0,11}?\W+emancipatie(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)emancipatie(?:\W+\w+){0,11}?\W+opstand(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)opstand(?:\W+\w+){0,11}?\W+emancipatie(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)emancipatie(?:\W+\w+){0,11}?\W+kolonie(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)kolonie(?:\W+\w+){0,11}?\W+emancipatie(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)bezit(?:\W+\w+){0,11}?\W+emancipatie(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)emancipatie(?:\W+\w+){0,11}?\W+bezit(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)export(?:\W+\w+){0,11}?\W+handel(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)handel(?:\W+\w+){0,11}?\W+export(?!\w)",True,pair,1.35
"Colonial Exploitation, Slavery & Economic Inequality","(?<!\w)handel(?:\W+\w+){0,11}?\W+vlucht(?!\w)",True,pair,1.35
