prob__burgerrechten,prob__gezondheidszorg,prob__arbeid,prob__onderwijs,prob__milieu,prob__immigratie,prob__criminaliteit,prob__sociale_zaken,prob__huisvesting,prob__buitenlandse_zaken,prob__ruimtelijke_ordening,prob__Cultuur_en_sport,prob__Ramp_ongeval
0.97976846,0.6757638,0.13281317,0.08031407,0.1372806,0.101999186,0.24545163,0.18896945,0.091793746,0.19773874,0.061204404,0.14145604,0.05361365
0.6864956,0.6154142,0.12467754,0.042150524,0.042924374,0.023796283,0.3013307,0.35615483,0.035486545,0.1377711,0.036305927,0.043069687,0.030835602
0.44983843,0.42153725,0.08188427,0.049681775,0.4089842,0.036536217,0.36241147,0.6350077,0.07553183,0.47505975,0.08033839,0.04865984,0.4663018
0.41497612,0.94923276,0.27056214,0.0897177,0.18423107,0.061323736,0.1513864,0.16649203,0.04868544,0.14644329,0.043133978,0.048065133,0.06568942
0.3117412,0.51250356,0.8922239,0.10763783,0.35006076,0.046605114,0.077955596,0.9663023,0.0392157,0.08513737,0.0696495,0.047233358,0.055067435
0.9786522,0.5448365,0.09430822,0.06873051,0.17157376,0.10789039,0.2401913,0.19683248,0.10773175,0.19641095,0.06999754,0.17750804,0.060428243
0.24226059,0.54617625,0.14506853,0.087953135,0.050694168,0.0404451,0.80668354,0.062449235,0.06267837,0.06584109,0.06958283,0.035019714,0.032331947
0.11623215,0.2094233,0.9764737,0.15066496,0.091584064,0.08707113,0.10696053,0.78789514,0.0904628,0.08125582,0.07901863,0.061180957,0.04241533
0.55366075,0.58159727,0.13205804,0.033060346,0.1266369,0.041693207,0.2430958,0.2074905,0.037432596,0.4787816,0.027503137,0.026960874,0.026979806
0.31483576,0.5192546,0.06258324,0.047130484,0.36723095,0.043259595,0.1945318,0.07240485,0.092050195,0.124196894,0.033713415,0.06433996,0.024071783
0.88999265,0.34785175,0.07587087,0.04900364,0.06250968,0.07425821,0.29222584,0.23614253,0.042274464,0.4165061,0.048393834,0.14886019,0.019504314
0.54473007,0.6448595,0.2580052,0.08453891,0.059445962,0.025861155,0.11738211,0.11589282,0.047225215,0.076520585,0.032104425,0.04993921,0.016303457
0.18059143,0.1640919,0.43108508,0.09323886,0.056745768,0.10328106,0.13341655,0.9806409,0.13031244,0.15633208,0.05859033,0.057086773,0.044203445
0.47853285,0.37159157,0.3024082,0.09008688,0.15387997,0.057515867,0.07318132,0.97798663,0.08444279,0.08063606,0.055165574,0.080026135,0.054336533
0.35675547,0.26168218,0.41317862,0.08934946,0.18300827,0.05811429,0.08055736,0.98273426,0.076562315,0.10132542,0.06206165,0.09041102,0.053099956
0.21761416,0.3144794,0.11738679,0.06623026,0.98102117,0.122662604,0.06293178,0.12865786,0.09047804,0.102804795,0.11648982,0.06848637,0.0398162
0.42089215,0.7060441,0.43556228,0.10343939,0.18272857,0.04153183,0.07343633,0.22819068,0.06419321,0.05410277,0.01814311,0.032474767,0.015085304
0.5267803,0.5468776,0.106126875,0.12066827,0.19883256,0.07050339,0.7781477,0.095675,0.050363004,0.13195251,0.047740053,0.10059255,0.049578257
0.18970533,0.23142295,0.3777906,0.048240393,0.12354831,0.048310567,0.0989102,0.817669,0.074355036,0.069822855,0.029148389,0.04994162,0.017353242
0.17916626,0.45732704,0.7188852,0.06716779,0.06444648,0.09201907,0.13751796,0.9550565,0.0704661,0.076976724,0.038301438,0.056423385,0.061337467
0.37632284,0.3180474,0.21388781,0.04091467,0.87894636,0.0765988,0.06549099,0.39373606,0.07986625,0.084772594,0.040017776,0.04525787,0.01989084
0.4425294,0.4705628,0.23363295,0.09691543,0.03369551,0.12146092,0.13025625,0.4739049,0.08208173,0.050872974,0.025556603,0.039498527,0.024265483
0.2878232,0.22009335,0.84857607,0.12274496,0.113127954,0.13362226,0.061135918,0.98639864,0.20643316,0.058379766,0.06603119,0.062737145,0.06610704
0.48889706,0.44226015,0.086022764,0.14001326,0.10392998,0.063458614,0.8344492,0.16442892,0.045776803,0.11307895,0.055715833,0.09755908,0.07134383
0.66857547,0.71429414,0.15606156,0.031155804,0.5883642,0.03819514,0.16903704,0.07537021,0.06296728,0.06153002,0.054757904,0.048430584,0.017702976
0.9794404,0.4687203,0.09336899,0.088437885,0.22376558,0.124688394,0.1956224,0.23275486,0.13805278,0.21933243,0.058492776,0.25758007,0.05366931
0.5362689,0.6120103,0.111166075,0.10563707,0.16119741,0.081058815,0.82535225,0.07203332,0.043256022,0.08691154,0.044823136,0.08542345,0.043169968
0.18659566,0.5129895,0.14189519,0.043467473,0.70155483,0.034536116,0.09230503,0.09930179,0.08471455,0.06650454,0.043742202,0.033862524,0.03581958
0.624222,0.52308214,0.17552549,0.031042658,0.19746642,0.029954152,0.15258676,0.14718887,0.09651178,0.08748931,0.031436075,0.061371885,0.015646683
0.6322249,0.68341744,0.18901883,0.03196396,0.11258912,0.028440079,0.15855373,0.17210372,0.06711141,0.060873013,0.036489464,0.03555756,0.019369869
0.29710722,0.67950237,0.9589562,0.098739654,0.06404265,0.074516244,0.14308095,0.5423545,0.040855583,0.056020875,0.051106296,0.044164114,0.0435607
0.25149816,0.6621923,0.7676862,0.04931523,0.06418293,0.071405634,0.10255398,0.90492004,0.039613806,0.055206303,0.048254915,0.042154912,0.060663927
0.22774383,0.61184144,0.9564899,0.20093329,0.053778287,0.058162615,0.12148124,0.21106368,0.05661103,0.051334433,0.06506005,0.06680397,0.034057796
0.49857298,0.48903203,0.6769995,0.054909002,0.043746963,0.02997144,0.15487291,0.19731593,0.023128625,0.10728243,0.030048443,0.060814258,0.016586518
0.9773402,0.59517425,0.10922579,0.068138845,0.39186013,0.11350244,0.20654978,0.19308871,0.16444592,0.123219006,0.09024411,0.14640518,0.059836272
0.16437946,0.3253482,0.13387442,0.05787315,0.966459,0.09288195,0.06629233,0.1597778,0.06545079,0.07278519,0.07675135,0.055382803,0.03406206
0.4005611,0.32015106,0.4199096,0.080400825,0.11147074,0.067992605,0.078761786,0.983487,0.09058513,0.06807998,0.04159133,0.07255362,0.045341797
0.4509757,0.51201236,0.12053231,0.043703414,0.08263677,0.024553157,0.19065963,0.17589907,0.048751835,0.07502497,0.0339944,0.044450812,0.015402915
0.44748694,0.4826028,0.40682778,0.039433397,0.10280388,0.029002523,0.25803614,0.06646787,0.17782745,0.121304385,0.036097214,0.059713174,0.013502169
0.7942861,0.6370317,0.1528829,0.034973845,0.14768682,0.024682682,0.3148332,0.1471187,0.043110307,0.12628882,0.03274833,0.06365173,0.020159725
0.5763169,0.6126547,0.6310215,0.036870822,0.06421274,0.03204281,0.30085304,0.09636226,0.07927692,0.060769893,0.03368992,0.036462124,0.013225111
0.18531318,0.17307815,0.7532054,0.09802411,0.04680649,0.04582043,0.093032934,0.96676207,0.12052008,0.06523729,0.07135589,0.061773654,0.036836587
0.6903675,0.59811693,0.1395007,0.035352856,0.03959488,0.037769265,0.29513267,0.19463088,0.0580847,0.086593516,0.0382402,0.044503994,0.014830193
