chunk_id,dominant_topic,dominant_score,score_margin,confidence_level
d9e934a8:00000,Colonialism,0.5371001213776475,0.0660847951572617,high
42b9c9cd:00001,Colonialism,0.4193570122887501,0.0751099442986366,high
439e454a:00000,Historical Slavery,0.5536069018751993,0.1984470988717356,high
595b22a6:00000,Historical Slavery,0.459619051084479,0.0719110661812902,high
36b044f7:00000,Historical Slavery,0.4527242856945506,0.0736493036706608,high
9a5d1dbb:00000,Historical Slavery,0.5245213986774926,0.1231041896547719,high
0edc3336:00000,Historical Slavery,0.3712046813826063,0.0842770226134764,high
e570c26d:00001,Historical Slavery,0.5418901577660865,0.1260037667741675,high
21ec7247:00000,Historical Slavery,0.4642862554921886,0.0877135004136409,high
85562667:00001,Historical Slavery,0.4743757399824175,0.0582811463342,high
d1862d35:00000,Historical Slavery,0.5048939591875967,0.0557582459598964,high
e43a34e0:00000,Historical Slavery,0.454062761782423,0.0679283513909295,high
334b5293:00000,Historical Slavery,0.4675938811224924,0.1129910413879672,high
97bfef21:00000,Historical Slavery,0.3968649707415403,0.0615118622456798,high
97bfef21:00001,Historical Slavery,0.5694063902867174,0.1987375949185748,high
61100d92:00000,Historical Slavery,0.5014837505454451,0.0783045238448019,high
61100d92:00001,Historical Slavery,0.5099907479800685,0.0536895514874505,high
3f87acad:00000,Colonialism,0.4949873438195877,0.0783931857571132,high
ba7f0616:00000,Colonialism,0.431680101478997,0.1541253731513686,high
d1239814:00001,Colonialism,0.4121608930742346,0.0816137517116672,high
c3888a6a:00000,Historical Slavery,0.4625086097813254,0.0596201633396451,high
05509396:00000,Historical Slavery,0.5502246225324354,0.1093530594943857,high
f2f3520a:00000,Historical Slavery,0.4983686313687326,0.0777359089789,high
d639c8db:00000,Historical Slavery,0.5272997977013958,0.0866144230535098,high
d639c8db:00001,Historical Slavery,0.4775045554896487,0.1681469663324159,high
6db9b8b1:00000,Historical Slavery,0.4905215330935314,0.1097092062746379,high
6db9b8b1:00001,Historical Slavery,0.4651304799467382,0.1335538594303772,high
d93b9ff0:00000,Historical Slavery,0.4802614797807893,0.1047802917119993,high
d93b9ff0:00001,Historical Slavery,0.4573414546716158,0.1128224100365353,high
212ce17b:00000,Historical Slavery,0.5238787138432068,0.1410435184599467,high
d11e68a9:00000,Historical Slavery,0.481054602238913,0.0668254329633277,high
c2249a6b:00000,Historical Slavery,0.4777601447026929,0.0621129921420282,high
b8f8d944:00000,Colonialism,0.4240066353896785,0.0759025640086624,high
b686d944:00000,Colonialism,0.4382930625876768,0.2128020784521769,high
b686d944:00001,Colonialism,0.4124015566608415,0.1244796913638136,high
85db2ed8:00000,Colonialism,0.4211305815814529,0.1360112584637771,high
712be3d6:00000,Historical Slavery,0.4912368722200172,0.0721606117814482,high
ececd1c2:00000,Historical Slavery,0.5810776568271567,0.1721291059813778,high
ececd1c2:00001,Historical Slavery,0.4746089198558113,0.1024025549084466,high
73786744:00001,Historical Slavery,0.4354521856111238,0.1542388630214844,high
97524c54:00001,Historical Slavery,0.5650071741753323,0.130299792196568,high
b5aa3cf9:00000,Historical Slavery,0.5180579518269518,0.1097178358780797,high
b5aa3cf9:00001,Historical Slavery,0.4821440871153462,0.0939600696600212,high
e097b84b:00000,Historical Slavery,0.5538480663813341,0.1026709083799315,high
e097b84b:00001,Historical Slavery,0.4057558445923164,0.1019263536811189,high
6a54d586:00000,Historical Slavery,0.5269709595487557,0.0500714370690533,high
9d7911ad:00000,Colonialism,0.4243612410302571,0.0535038553066671,high
9d7911ad:00001,Historical Slavery,0.3935137366757247,0.0800759878190342,high
00d2af49:00000,Historical Slavery,0.482916249258687,0.0882875520500285,high
00d2af49:00001,Historical Slavery,0.5216054068663123,0.0639524871704168,high
ca939c3f:00000,Historical Slavery,0.4860999934742662,0.0849020263326302,high
ca939c3f:00001,Historical Slavery,0.4328980901086611,0.1072530470689633,high
d37dd04f:00000,Historical Slavery,0.4321560092592756,0.0502443138561661,high
1fd5f1ca:00000,Historical Slavery,0.4370462368816172,0.0833494846412965,high
837a9ff9:00000,Colonialism,0.4879540903065131,0.1009489985062317,high
f4bb3ce4:00000,Historical Slavery,0.5431905008251902,0.0803739243322376,high
40920d8b:00000,Colonialism,0.4464825626295689,0.0691345733133949,high
9073a266:00000,Colonialism,0.4318777246316078,0.1525396493997577,high
9073a266:00001,Colonialism,0.3983558104836204,0.0550099202510785,high
5924254a:00000,Colonialism,0.4774125334069939,0.100866912157012,high
713f80e9:00001,Historical Slavery,0.4773853349114152,0.1312593231476244,high
b5204575:00000,Historical Slavery,0.5191899650581028,0.0508904404792225,high
b5204575:00001,Historical Slavery,0.5136524400009108,0.1517968890056513,high
f92d6c2f:00000,Historical Slavery,0.3874021055246849,0.0569982561547335,high
1a19d8fb:00001,Colonialism,0.3614708959458639,0.0511527165909659,high
6b5f7057:00000,Modern Racism & Inequality,0.4713463433180314,0.0603047664531694,high
5dd963d0:00000,Historical Slavery,0.4061017083789394,0.1353616596855174,high
76c953d9:00000,Historical Slavery,0.4133894551057902,0.0626844827900437,high
f7fb639c:00001,Colonialism,0.3704576347217297,0.1148923369962967,high
1f802f7c:00000,Colonialism,0.3679856455599947,0.0565512363399315,high
20a6ce01:00000,Colonialism,0.4127748307997461,0.0580596764561186,high
20a6ce01:00001,Historical Slavery,0.4955941653408769,0.0641920364931658,high
f4174bd9:00000,Historical Slavery,0.4783568026989733,0.1185053596876593,high
eb19e00d:00000,Historical Slavery,0.3627782385851403,0.0542113748601024,high
41145c66:00000,Historical Slavery,0.4169670864350806,0.0724655900952723,high
c8c5c0b3:00000,Colonialism,0.4306459014941243,0.0529328667382495,high
ee70064a:00001,Modern Racism & Inequality,0.4275306853900092,0.0722430959531952,high
de07d3a3:00000,Historical Slavery,0.4998973376190184,0.0595760169792529,high
de07d3a3:00001,Historical Slavery,0.4615219085783099,0.167452487319787,high
2cddbf18:00000,Historical Slavery,0.4993431597349456,0.1344616408622636,high
669e9904:00001,Historical Slavery,0.4348482478509575,0.0820281908701413,high
c8e4dae3:00000,Historical Slavery,0.363126490946713,0.0661859160163695,high
72310de1:00000,Colonialism,0.450509845900448,0.0560571046302644,high
94c7382e:00000,Historical Slavery,0.4932221591750599,0.0502089048554779,high
04a7a36c:00001,Historical Slavery,0.5106334217965224,0.0556254899614979,high
8a3c533b:00000,Colonialism,0.4609122275032956,0.0566973400948527,high
7cf8627d:00001,Colonialism,0.3567153281013968,0.0968531152360346,high
d47e737e:00000,Colonialism,0.5059218231286677,0.1427117398468672,high
e5522bcb:00000,Colonialism,0.3786065885460837,0.0640200352813011,high
e5522bcb:00001,Colonialism,0.4245019315547343,0.0858304298504941,high
bdc66dd1:00000,Colonialism,0.4566508336069971,0.0617742160398798,high
bdc66dd1:00001,Colonialism,0.3776140394133045,0.08007590683531,high
e8fea061:00000,Historical Slavery,0.3974336104653523,0.0506549155322469,high
e8fea061:00001,Colonialism,0.4148123309161622,0.1484814202148963,high
6435a5e1:00000,Historical Slavery,0.3763591514673477,0.0583600309803016,high
6435a5e1:00001,Colonialism,0.4439815845121654,0.0849178468258538,high
f67df13e:00000,Historical Slavery,0.4455260478343803,0.0840958048002992,high
f67df13e:00001,Historical Slavery,0.4017248906884139,0.0825501384908716,high
5a851327:00000,Historical Slavery,0.4983194304591078,0.0515969240918134,high
905630b7:00001,Historical Slavery,0.5332421356720635,0.0600590926124542,high
eed7f301:00001,Colonialism,0.4359868470042538,0.0741588789376177,high
ab7277ea:00000,Colonialism,0.399988890470339,0.0606178149992825,high
ab7277ea:00001,Colonialism,0.3715139034209298,0.0845141431359178,high
a65c99a9:00000,Colonialism,0.4366607981371094,0.0608670196404682,high
a65c99a9:00001,Colonialism,0.4534920952761239,0.0543418655521195,high
42380e20:00000,Historical Slavery,0.4692421610151061,0.0746412062471867,high
215d99b2:00002,Historical Slavery,0.4317513888421613,0.0769463995577824,high
215d99b2:00004,Colonialism,0.5121770043869994,0.1580921432296992,high
215d99b2:00006,Historical Slavery,0.4321151103756617,0.0809602237324706,high
429e64cb:00000,Historical Slavery,0.5275593113317032,0.0859860380970067,high
429e64cb:00001,Historical Slavery,0.5110351442099478,0.1236538316307794,high
429e64cb:00007,Historical Slavery,0.5147341832514128,0.1200066682342162,high
7758e683:00000,Historical Slavery,0.4266190639807795,0.1316765997031875,high
3f46e62e:00000,Colonialism,0.540420226033661,0.089678244769608,high
3f46e62e:00004,Colonialism,0.39273006263681,0.089465653906252,high
3f46e62e:00006,Historical Slavery,0.4237853043528568,0.0965949583934197,high
