chunk_id,primary_topic,primary_score,pca_x,pca_y,confidence_level
f8061b06:00000,Historical Slavery,0.475120543688507,1.1233151021106718,-0.3050599326662956,high
a2eebbea:00001,Colonialism,0.3626480963297667,-0.631796812053348,-0.726659338924649,high
a2eebbea:00002,Colonialism,0.4110474541568503,0.3053703250756617,-0.21236208222778477,high
7f7a88ce:00001,Historical Slavery,0.3857284055566973,0.34391768668214134,0.012986368891381642,high
f7b2c52f:00001,Colonialism,0.3782733001220175,-0.2960911609225347,-0.47687022827372433,high
9070abb6:00001,Historical Slavery,0.4245901048401696,0.4617474516300176,0.5215117148980987,high
d1de85e0:00000,Historical Slavery,0.5433764334502679,1.6816938954006377,-0.20144590711581745,high
d1de85e0:00001,Colonialism,0.4264963117785916,0.24936450440098296,-1.0066147406317,high
d8333de4:00000,Historical Slavery,0.4102109094886642,0.49391588627261235,-0.1236579854833525,high
e5765ac9:00001,Colonialism,0.365119094519752,-1.0884542697609247,-0.5428147297731434,high
e5765ac9:00002,Colonialism,0.3707289466675709,-0.07291984230032043,-0.28279773985159595,high
92505e87:00000,Historical Slavery,0.4157566623310383,0.5265043944905939,-0.7563705027029507,high
a404c999:00002,Historical Slavery,0.4421922917640957,0.4399755884096256,-0.009985097046419342,high
6da3060c:00000,Historical Slavery,0.3632272091693865,-0.06477449856609224,0.06728234110105943,high
6da3060c:00001,Colonialism,0.4340484393536588,0.662848663575471,-0.7219726966313607,high
c8f04565:00000,Colonialism,0.4588252106684824,1.2342910082961913,-0.21001556484618017,high
4f493c2b:00000,Historical Slavery,0.4198256206177712,0.7964185927636198,-0.43121346070293104,high
9216265f:00000,Colonialism,0.3873540902340334,-0.07992304141508938,-0.3175202441004529,high
b2895695:00001,Modern Racism & Inequality,0.389725121474839,0.35449747148513855,0.6670382095113504,high
ed7dbfb5:00001,Historical Slavery,0.528105123572145,2.0684620167012278,-0.6944149138029408,high
ed7dbfb5:00002,Colonialism,0.3717670109191821,-0.3395318088933443,-1.227679405857034,high
20d00c96:00000,Historical Slavery,0.4251924972213343,0.8678048564618241,-0.37849859693001753,high
20d00c96:00001,Historical Slavery,0.4412703692459088,0.4663764730379384,-1.1987236930393017,high
22735ef8:00000,Historical Slavery,0.4177550086048928,0.15245986024091832,-0.7498033942993311,high
22735ef8:00001,Historical Slavery,0.4260087882511152,0.23787526447230004,-0.8299525495689204,high
98d962cc:00000,Historical Slavery,0.5419681596221119,2.171298240750838,-0.4926484767968012,high
98d962cc:00001,Historical Slavery,0.4096638335753586,0.03191594796451017,-1.0502041245612517,high
98d962cc:00002,Historical Slavery,0.4078304561734385,0.5735063893388286,-0.17374661409032577,high
a99cfce7:00002,Historical Slavery,0.4766649280125599,1.4051726097945405,0.37040404008546823,high
a9bd8e6d:00001,Historical Slavery,0.521704213086831,1.2471885819122914,-0.4677521208119363,high
debeff6c:00001,Historical Slavery,0.4555724027924886,0.27035571918529866,-0.9660618559049737,high
debeff6c:00002,Historical Slavery,0.5361402392715497,2.1296920664511636,-0.575706490572114,high
d89f6227:00000,Historical Slavery,0.4263158124658819,0.7954844111828037,-0.5291537293596913,high
d89f6227:00001,Historical Slavery,0.4801464427545405,1.0916417787491481,-0.6209152312937821,high
d89f6227:00002,Colonialism,0.3725404926569176,-0.4245068215285452,-0.37989971941524514,high
0d2547ef:00001,Historical Slavery,0.4017357351868141,0.6616219236850446,0.08983916817340992,high
a242cf3c:00001,Colonialism,0.3873186320734718,-0.844939012406659,-0.7777907033942153,high
e5dca18b:00002,Colonialism,0.4290154700326719,0.23037818161766419,-0.618806597840311,high
7d66dc9b:00000,Colonialism,0.4915299389297016,1.9287274738443618,-0.040441778113794784,high
e60e1744:00001,Historical Slavery,0.4490119095472853,1.0121131630055806,-0.13866792140675768,high
85fa255f:00001,Historical Slavery,0.398515932467132,-0.020610369916559727,-0.03684038941698724,high
0ef08eec:00001,Historical Slavery,0.4560039389881643,1.5305263358986678,0.13357666456361075,high
0ef08eec:00002,Historical Slavery,0.4963675399684176,1.4141268955843405,-0.36672338957534006,high
a08a92a1:00001,Historical Slavery,0.4589955015667695,0.567479424938602,-0.5883046295363459,high
4d0c2028:00001,Colonialism,0.4886815973116764,1.2838007916520846,-0.9578599364010764,high
bbf8356b:00001,Historical Slavery,0.4009556173397713,-0.022140759320043443,-0.23823717307491848,high
c2f41ef9:00001,Historical Slavery,0.4196519931913197,0.4291376953296107,-0.06533336995611534,high
22b38b22:00001,Historical Slavery,0.4782349948524472,1.289123591133012,-0.9591676328840607,high
18cf65d6:00001,Historical Slavery,0.3693200751333821,-0.008603807848398712,-0.2241046777521747,high
895aaf82:00000,Historical Slavery,0.3780023970969308,0.08783376123353721,0.035683569294021965,high
539e720c:00001,Historical Slavery,0.4535369193909329,1.3627313156455216,-0.1062010938658523,high
