topic,term,cosine,df
Colonialism,secretaris,0.5597,12
Colonialism,voc-gebied,0.5596,5
Colonialism,collective,0.5592,11
Colonialism,bestuursfuncties,0.5589,5
Colonialism,overeenkomsten,0.5581,16
Colonialism,stadhouder,0.558,26
Colonialism,obligaties,0.5579,12
Colonialism,historic,0.5575,7
Colonialism,beleggingen,0.557,7
Colonialism,government,0.5568,17
Colonialism,creoolse,0.5567,10
Colonialism,antislavery,0.5565,8
Colonialism,inheemse,0.5563,31
Colonialism,afspiegeling,0.556,13
Colonialism,kolo,0.5557,17
Colonialism,overwegingen,0.5556,11
Colonialism,overeenkomst,0.5555,9
Colonialism,raad,0.5554,45
Colonialism,expeditie,0.5549,5
Colonialism,amerika,0.5547,64
Colonialism,verscheept,0.5543,8
Colonialism,aandeelhouders,0.5542,21
Colonialism,nation,0.554,12
Colonialism,bezittingen,0.5536,24
Colonialism,samenwerking,0.5532,42
Colonialism,antislavern,0.5524,5
Colonialism,duitsland,0.5521,9
Colonialism,volendam,0.5517,6
Colonialism,conflicten,0.5515,15
Colonialism,leidinggevenden,0.5513,24
Colonialism,westen,0.551,9
Colonialism,bedrijven,0.5508,18
Colonialism,beheer,0.5506,21
Colonialism,bestuurders,0.5504,66
Colonialism,illegale,0.5501,14
Historical Slavery,slavernij,1.0,690
Historical Slavery,slavenhandel,1.0,256
Historical Slavery,slavenopstand,1.0,24
Historical Slavery,dwangarbeid,1.0,34
Historical Slavery,plantage-economie,1.0,10
Historical Slavery,trans-atlantisch,1.0,10
Historical Slavery,ketenen,1.0,15
Historical Slavery,zweep,1.0,6
Historical Slavery,marronage,1.0,5
Historical Slavery,slavernij-,0.9593,15
Historical Slavery,slavernijgerelateerde,0.9017,6
Historical Slavery,trans-atlantische,0.8985,86
Historical Slavery,slavenhandelaren,0.8924,15
Historical Slavery,slavenhandelaars,0.8459,5
Historical Slavery,slavernijverleden,0.8413,250
Historical Slavery,slavernijsysteem,0.8334,17
Historical Slavery,slavenhandelaar,0.8306,11
Historical Slavery,slaaf-gemaakte,0.8286,13
Historical Slavery,dwangarbeiders,0.827,6
Historical Slavery,slavernijdebat,0.8225,6
Historical Slavery,verkocht,0.8194,52
Historical Slavery,slavernijgeschiedenis,0.8136,33
Historical Slavery,slavernijperiode,0.8135,5
Historical Slavery,verkoop,0.8103,28
Historical Slavery,plantagesector,0.8064,7
Historical Slavery,keten,0.7992,12
Historical Slavery,verkopen,0.7816,19
Historical Slavery,koop,0.7802,14
Historical Slavery,kopen,0.7767,26
Historical Slavery,slavenmarkten,0.7727,6
Historical Slavery,atlantisch,0.7669,25
Historical Slavery,vrijkopen,0.762,5
Historical Slavery,plantage-,0.7586,13
Historical Slavery,midden,0.7515,45
Historical Slavery,slavenarbeid,0.7495,18
Historical Slavery,kleur,0.7391,88
Historical Slavery,kleurrijke,0.7382,7
Historical Slavery,plantages,0.7358,139
Historical Slavery,handels,0.7327,10
Historical Slavery,aankoop,0.7261,15
Historical Slavery,plantage,0.726,97
Historical Slavery,slaaf-gemaakten,0.7208,38
Historical Slavery,marrons,0.7199,22
Historical Slavery,midden-,0.7184,5
Historical Slavery,slaafgemaakt,0.717,13
Historical Slavery,arbeid,0.7161,95
Historical Slavery,afkeer,0.7149,11
Historical Slavery,slavenhalers,0.7141,9
Historical Slavery,koopwaar,0.7131,8
Historical Slavery,markt,0.7111,20
Historical Slavery,handelsgoederen,0.707,6
Historical Slavery,sloot,0.7069,11
Historical Slavery,smokkelhandel,0.7067,5
Historical Slavery,ruil,0.7067,12
Historical Slavery,slaafgemaakte,0.704,130
Historical Slavery,verschuiving,0.7038,5
Historical Slavery,eigendomsslavernij,0.7025,5
Historical Slavery,handelaar,0.7015,10
Historical Slavery,slaaf-,0.6999,12
Historical Slavery,slaafgemaakten,0.6945,295
Historical Slavery,slavenhouders,0.6926,60
Historical Slavery,plantageslavernij,0.6926,5
Historical Slavery,economie,0.6892,54
Historical Slavery,handel,0.6889,189
Historical Slavery,gekleurde,0.686,11
Historical Slavery,slavengeld,0.6798,6
Historical Slavery,slavenhoudende,0.6768,6
Historical Slavery,slavenhouder,0.6762,9
Historical Slavery,kocht,0.6735,26
Historical Slavery,handels-,0.671,6
Historical Slavery,kooplieden,0.67,41
Historical Slavery,koopman,0.667,30
Historical Slavery,trekken,0.6646,27
Historical Slavery,bay,0.6612,14
Historical Slavery,pleiten,0.6609,14
Historical Slavery,hechten,0.6607,7
Historical Slavery,omgekeerd,0.6595,7
Historical Slavery,omgang,0.6593,28
Historical Slavery,plantage-eigenaren,0.6588,23
Historical Slavery,plantagekoloniën,0.6584,7
Historical Slavery,handelswaar,0.6571,15
Historical Slavery,atlantische,0.6558,88
Historical Slavery,koopmans-,0.654,5
Historical Slavery,verzetten,0.652,14
Historical Slavery,dwang,0.6496,29
Historical Slavery,wereldeconomie,0.6478,6
Historical Slavery,plantagehouders,0.646,14
Historical Slavery,trans-,0.6452,13
Historical Slavery,verplaatsing,0.6423,8
Historical Slavery,handelaars,0.6384,7
Historical Slavery,verkochten,0.6374,5
Historical Slavery,verschaffen,0.6351,6
Historical Slavery,transatlantic,0.635,11
Historical Slavery,koppelen,0.6335,5
Historical Slavery,verwerven,0.6331,8
Historical Slavery,arbeidsdwang,0.633,5
Historical Slavery,slaafmakers,0.6329,6
Historical Slavery,onttrekken,0.6328,5
Historical Slavery,slaven,0.632,206
Historical Slavery,goederen,0.6311,35
Historical Slavery,vernietiging,0.6306,6
Historical Slavery,slavenkolonie,0.6304,5
Historical Slavery,weg,0.6295,88
Historical Slavery,doorbreken,0.6291,12
Historical Slavery,plantagehouder,0.628,8
Historical Slavery,slaafgemaak,0.6276,25
Historical Slavery,plantation,0.626,7
Historical Slavery,bieden,0.6222,70
Historical Slavery,verlenen,0.6194,13
Historical Slavery,slavenmakers,0.6184,7
Historical Slavery,beschaving,0.6182,20
Historical Slavery,overgang,0.6176,7
Historical Slavery,expeditie,0.6165,5
Historical Slavery,slavernijmuseum,0.6163,19
Historical Slavery,slavenschepen,0.616,25
Historical Slavery,ontving,0.6158,17
Historical Slavery,afschaffen,0.6141,10
Historical Slavery,trans,0.6132,8
Historical Slavery,trek,0.6131,5
Historical Slavery,hangen,0.613,8
Historical Slavery,guilt,0.613,5
Historical Slavery,slavenschip,0.6126,9
Historical Slavery,transitie,0.6122,7
Historical Slavery,slaaf,0.6106,219
Historical Slavery,vergeleken,0.61,6
Historical Slavery,planten,0.6086,8
Historical Slavery,bewaren,0.6083,7
Historical Slavery,handelaren,0.6066,48
Historical Slavery,deal,0.6054,7
Historical Slavery,aflossing,0.6048,6
Historical Slavery,afbakening,0.6043,6
Historical Slavery,jay,0.6031,5
Historical Slavery,hielden,0.6023,28
Historical Slavery,ontslag,0.6019,15
Historical Slavery,bruin,0.6016,14
Historical Slavery,aanbod,0.6015,10
Historical Slavery,afschaffing,0.601,219
Historical Slavery,teelt,0.6009,7
Historical Slavery,loopbaan,0.5994,8
Historical Slavery,raken,0.5994,17
Historical Slavery,voorloper,0.5994,6
Historical Slavery,worstelen,0.5988,6
Historical Slavery,vereenigen,0.5986,13
Historical Slavery,beleggingen,0.5977,7
Historical Slavery,regeringen,0.5958,10
Historical Slavery,vervangen,0.5952,25
Historical Slavery,commodities,0.5946,5
Historical Slavery,verovering,0.5943,21
Historical Slavery,sloten,0.5943,11
Historical Slavery,verscheen,0.5941,26
Historical Slavery,economische,0.5939,104
Historical Slavery,knechten,0.5937,6
Historical Slavery,bod,0.5925,15
Historical Slavery,planters,0.5923,40
Historical Slavery,kringen,0.5922,18
Historical Slavery,gaten,0.5907,9
Historical Slavery,handelshuizen,0.5894,7
Historical Slavery,verbieden,0.5887,6
Historical Slavery,plantage-eigenaar,0.5886,10
Historical Slavery,zuilen,0.5875,7
Historical Slavery,gaandeweg,0.5871,7
Historical Slavery,gewassen,0.5866,16
Historical Slavery,voortzetting,0.5866,10
Historical Slavery,shell,0.5864,12
Historical Slavery,afspiegeling,0.5856,13
Historical Slavery,offer,0.5854,6
Historical Slavery,grijpen,0.5852,5
Historical Slavery,bestel,0.5842,5
Historical Slavery,vernij,0.584,8
Historical Slavery,slaafge,0.5838,21
Historical Slavery,slaaven,0.5836,6
Historical Slavery,bestuurder,0.5832,10
Historical Slavery,overheersing,0.5818,15
Historical Slavery,veranderen,0.5811,26
Historical Slavery,slavin,0.5801,5
Historical Slavery,way,0.58,10
Historical Slavery,verschoof,0.579,7
Historical Slavery,sluiten,0.5789,27
Historical Slavery,diepgaand,0.5788,9
Historical Slavery,brachten,0.5787,17
Historical Slavery,afschaffingen,0.5785,44
Historical Slavery,suikerplantages,0.5785,11
Historical Slavery,verzet,0.5777,96
Historical Slavery,landbouw,0.5777,22
Historical Slavery,hagen,0.5773,8
Historical Slavery,omgaan,0.5773,20
Historical Slavery,verlengen,0.5758,5
Historical Slavery,slave,0.5752,71
Historical Slavery,slavenkoloniën,0.5751,6
Historical Slavery,wier,0.5749,8
Historical Slavery,transformatie,0.5749,7
Historical Slavery,wijk,0.5748,6
Historical Slavery,zagen,0.5747,45
Historical Slavery,beperken,0.5747,25
Historical Slavery,breken,0.5744,6
Historical Slavery,ross,0.5742,6
Historical Slavery,slaves,0.5741,27
Historical Slavery,bezetting,0.5736,25
Historical Slavery,aangeboden,0.572,36
Historical Slavery,opstandelingen,0.571,7
Historical Slavery,baan,0.5709,9
Historical Slavery,arbeiders,0.5703,59
Historical Slavery,marine,0.5699,6
Historical Slavery,korten,0.5698,6
Historical Slavery,persons,0.5697,8
Historical Slavery,arbeiden,0.5689,13
Historical Slavery,afsluiten,0.5664,5
Historical Slavery,koers,0.5662,6
Historical Slavery,verbanden,0.5655,9
Historical Slavery,gruwelen,0.5646,8
Historical Slavery,woningmarkt,0.5644,8
Historical Slavery,bekeren,0.5628,5
Historical Slavery,verrichten,0.5624,12
Historical Slavery,ships,0.5617,7
Historical Slavery,emancipation,0.5613,19
Historical Slavery,slavenregisters,0.5599,10
Historical Slavery,patronen,0.5591,33
