prob__burgerrechten,prob__gezondheidszorg,prob__arbeid,prob__onderwijs,prob__milieu,prob__immigratie,prob__criminaliteit,prob__sociale_zaken,prob__huisvesting,prob__buitenlandse_zaken,prob__ruimtelijke_ordening,prob__Cultuur_en_sport,prob__Ramp_ongeval
0.7620439,0.6638689,0.0737875,0.051618207,0.16351399,0.0640544,0.67772585,0.058249477,0.047976177,0.10028048,0.04559389,0.106811315,0.031635035
0.39228025,0.38076767,0.09408652,0.03462071,0.76635414,0.048154995,0.08924982,0.059830092,0.10700656,0.100493595,0.0266336,0.04768314,0.031667862
0.7395804,0.49794254,0.21516728,0.03226453,0.2814787,0.02699817,0.12050362,0.14283662,0.09604126,0.07735277,0.045404367,0.06298828,0.018247759
0.8418013,0.6484558,0.11251685,0.04789383,0.061106954,0.05432027,0.17247021,0.13999058,0.060646005,0.101369254,0.049451735,0.05838953,0.022525458
0.4927245,0.8122605,0.92731476,0.07748271,0.06494759,0.062292255,0.24930824,0.619464,0.030499656,0.05813966,0.043501258,0.04376291,0.061832875
0.28240186,0.7889636,0.49159336,0.056515247,0.06402461,0.047374867,0.12837394,0.8780981,0.0683156,0.064113066,0.06174711,0.04460542,0.07074533
0.37288734,0.51772034,0.93210465,0.17779414,0.05583815,0.03824315,0.11557091,0.11590902,0.057837874,0.08023936,0.059503965,0.068093956,0.028853277
0.6644497,0.41993827,0.6149882,0.044879433,0.048970893,0.030103847,0.13872747,0.1655237,0.044528894,0.12012149,0.037658,0.07157995,0.014904515
0.91300595,0.73510605,0.07934068,0.054728903,0.43581784,0.060182836,0.2398016,0.069774374,0.10950988,0.094236396,0.064610526,0.06402716,0.042078484
0.24223341,0.27777472,0.096700735,0.04702418,0.98021805,0.09389332,0.08432119,0.080075786,0.06737369,0.092270434,0.09569557,0.06349104,0.049666222
0.6473408,0.41114777,0.3756271,0.08485195,0.06567547,0.069192246,0.104254685,0.9734249,0.07928875,0.09152482,0.0617681,0.08746021,0.051908813
0.5490316,0.45928183,0.06898291,0.048567142,0.052760947,0.037076607,0.20860328,0.14379928,0.079296775,0.08479289,0.05604738,0.06749712,0.014477757
0.50960207,0.34828684,0.3423544,0.035705235,0.119089566,0.038158562,0.20851964,0.117876284,0.39634463,0.09961628,0.04559721,0.06764892,0.01734113
0.8614528,0.611739,0.10330266,0.029939039,0.20032044,0.03671966,0.24036743,0.090036996,0.11146102,0.12795594,0.05142173,0.064482935,0.021877084
0.83445233,0.5411546,0.26295093,0.036989365,0.045218576,0.03288652,0.34979627,0.12352953,0.09749243,0.10754889,0.037087403,0.047331072,0.018998794
0.23371524,0.16547479,0.43692935,0.0845178,0.05290931,0.0569499,0.11327172,0.9823914,0.20512499,0.1465467,0.13557233,0.10636569,0.06866774
0.8810135,0.6028116,0.078995034,0.07854372,0.029434899,0.09065466,0.25250122,0.16377634,0.0694321,0.16768703,0.06625344,0.061952233,0.023882503
0.4977261,0.2580412,0.1732607,0.07267687,0.03866265,0.049690545,0.21909863,0.9700317,0.1027552,0.17800535,0.08919539,0.11420702,0.057328396
0.15915847,0.1668031,0.33601174,0.13157745,0.06413803,0.1670865,0.19726,0.9850773,0.18017928,0.12394238,0.07129627,0.11230288,0.087595195
0.17305815,0.22402847,0.9541665,0.10249722,0.12553877,0.108701855,0.089468405,0.9303624,0.08775295,0.10396502,0.06662672,0.06171208,0.063591264
0.27711096,0.4385385,0.08906944,0.11831768,0.05197796,0.045487095,0.10634556,0.15438014,0.15067203,0.033104755,0.07356752,0.12774326,0.017279582
0.1631258,0.2996229,0.9004343,0.050893076,0.92868125,0.06654247,0.050703347,0.7858943,0.10135937,0.15452026,0.08895774,0.05732138,0.067126006
0.8190444,0.68916816,0.07256489,0.05531905,0.09808308,0.042134352,0.16055317,0.11307472,0.053358175,0.12001974,0.053279757,0.07330143,0.02002114
0.87383974,0.6107442,0.07955919,0.06029848,0.059996124,0.06562603,0.27607617,0.093425065,0.05279028,0.14216256,0.053047266,0.05919259,0.022495752
0.8015756,0.54315144,0.06354222,0.054693893,0.03726231,0.073204145,0.38244835,0.13736996,0.05981829,0.11591296,0.04553417,0.05055304,0.020698136
0.9022864,0.61829334,0.15701877,0.03645105,0.06129841,0.049823448,0.2626734,0.1429705,0.05796327,0.12953769,0.065949015,0.051648803,0.025735423
0.8084919,0.49438983,0.080834016,0.042275414,0.06059135,0.060545444,0.24307273,0.14510971,0.04908514,0.11899394,0.055532895,0.055723224,0.019672086
0.90873665,0.6705648,0.23511492,0.04150408,0.055143956,0.04125831,0.3380525,0.12838432,0.05481527,0.15722743,0.05956214,0.049724083,0.023431508
0.46799728,0.74355304,0.13779396,0.17024535,0.083423525,0.036987863,0.12126807,0.15474334,0.8834102,0.06996921,0.07975198,0.05684727,0.038331814
0.7133328,0.8307528,0.21590263,0.11865515,0.028433714,0.083139315,0.18405345,0.2800666,0.059162006,0.08407436,0.03309696,0.029726243,0.02612908
0.76028436,0.59870625,0.10604331,0.06839656,0.040902264,0.040966306,0.24888691,0.11365431,0.039677158,0.14412482,0.03716943,0.08328451,0.01971751
0.85923535,0.6107174,0.099931546,0.08178738,0.03954903,0.052064143,0.26592773,0.10577871,0.06324041,0.12119343,0.0477399,0.07649354,0.019238226
0.21618435,0.22870885,0.63049716,0.06921607,0.05719829,0.09350229,0.3064258,0.9835434,0.112735964,0.1202238,0.07689645,0.06488305,0.10674333
0.6252186,0.49407214,0.33508626,0.13798244,0.08773451,0.08109406,0.13504201,0.98081744,0.08810136,0.08609794,0.06326944,0.08446194,0.052369542
0.4145087,0.74174833,0.7371591,0.03669164,0.21476224,0.041292954,0.16177498,0.78254664,0.040623505,0.037555482,0.041692626,0.035564117,0.041887835
0.5789245,0.3464092,0.82000303,0.062380884,0.043966305,0.13084677,0.22252794,0.9829479,0.08654505,0.070707805,0.063192576,0.075423494,0.07546473
0.7232672,0.58306754,0.93089485,0.10394634,0.03610386,0.09089346,0.21763699,0.7393233,0.059678454,0.04071041,0.038147558,0.058489,0.049171306
0.6278118,0.66167176,0.27807212,0.045786563,0.025227083,0.05466641,0.17957117,0.64397925,0.14047293,0.058784973,0.03825035,0.04068936,0.024802305
0.1446127,0.27983156,0.94801295,0.16443469,0.1329824,0.12078118,0.06726344,0.19058552,0.06461215,0.07225441,0.04395747,0.07916424,0.033899866
0.44794294,0.896072,0.09294421,0.21490763,0.047886133,0.056446377,0.10597941,0.092827745,0.08011234,0.08238553,0.056668077,0.06387814,0.027110197
0.3360162,0.4614205,0.96509737,0.12004404,0.15272504,0.085038826,0.10784906,0.18904296,0.048830163,0.061990954,0.04246463,0.05779416,0.03449472
0.43487996,0.7898736,0.09187368,0.11021969,0.06169389,0.055932667,0.20873491,0.13811544,0.16303028,0.05950866,0.03779884,0.023486957,0.019669002
0.28709227,0.90196,0.08753877,0.4462913,0.03751921,0.086291745,0.15877746,0.09049787,0.13383196,0.08663781,0.057985067,0.038828444,0.051369138
0.14360432,0.24233538,0.907409,0.098587506,0.43928912,0.0944435,0.066022396,0.089240946,0.0758066,0.09503116,0.045887917,0.05608684,0.03023365
