term,term_freq,doc_freq
personen,323,216
zorgen,323,294
percentage,321,214
aangeboden,320,289
diensten,320,249
weer,320,285
den,319,227
stappen,319,293
overig,318,228
koninkrijk,317,213
wanneer,317,276
burgers,316,256
vallen,316,276
voldoende,316,286
geraamd,316,234
onderdelen,313,266
openstaande,313,185
garantie,313,138
delen,312,288
afronding,312,251
ad,311,165
vindt,310,299
najaar,310,260
voeren,310,285
aandeel,309,211
binnenlandse,308,261
economie,308,174
hoofdstuk,308,209
producten,308,236
blijft,307,275
europees,307,247
rapportage,307,253
isb,307,112
private,306,228
opvang,306,183
beleidsartikel,306,230
opgesteld,305,286
partners,305,253
handel,305,212
geldt,304,286
fte,304,158
ontwerpbegroting,304,226
handelingen,304,236
volgt,303,264
daarvan,303,289
geval,302,270
voornamelijk,302,256
impact,300,256
gekomen,299,264
bestuurlijke,299,212
landelijk,299,232
monitoring,299,244
vorm,298,279
data,298,205
rond,298,259
landelijke,298,241
technische,298,255
rijksbrede,298,235
direct,297,235
recht,297,235
betreffende,296,271
rws,296,182
mogelijke,295,275
gemiddelde,294,184
plenair,294,213
land,293,231
ministeries,293,244
provincies,292,201
voorziening,292,166
positie,290,259
posten,290,189
ligt,289,265
politieke,289,213
echter,288,274
ondersteunen,288,270
hierdoor,288,273
duurzaam,288,195
waarde,287,207
volledig,286,265
saldibalans,286,176
blijkt,285,260
comptabiliteitswet,285,170
nota,284,195
coalitieakkoord,284,255
leiden,283,262
blijven,283,267
mkb,283,177
awb,283,128
monitor,283,179
miljard,283,157
beleidsartikelen,283,176
nederlands,282,199
resultaat,281,205
waarmee,280,261
maakt,279,261
bevat,279,250
bekostiging,279,178
paragraaf,279,215
vergroten,278,251
steeds,278,253
stijging,278,204
courant,278,125
najaarsnota,278,121
balans,277,186
lijn,276,249
ix,276,255
overheden,275,220
verplichting,275,199
middels,274,249
maarten,273,141
wonen,273,185
strategische,273,202
indicatoren,273,186
rekenkamer,273,151
einde,272,233
vvd,271,216
toezeggingen,270,188
fondsen,270,146
gestuurd,269,246
ruim,268,224
werkzaamheden,268,224
incidentele,268,210
verantwoording,267,234
toegang,267,207
verschillen,266,224
belangrijk,266,242
medeoverheden,266,200
vooral,265,247
besloten,265,243
gebracht,264,257
systeem,264,221
samenleving,262,218
waarop,262,246
bes,262,158
laatste,260,247
aanvragen,259,206
kinderen,259,184
dragen,259,239
omgevingswet,259,115
justitie,257,176
bz,257,153
snel,257,240
doelen,257,207
vaststelling,257,176
uwv,257,148
groei,256,171
mogelijkheid,256,232
operationele,256,142
gesprekken,255,220
militaire,255,169
verduurzaming,254,194
inspectie,253,165
lopende,253,195
gezet,253,232
gebruikt,253,228
gevallen,253,212
woo,253,116
mld,253,96
aangegeven,252,229
groep,252,209
apparaat,252,184
analyse,251,210
transitie,251,196
situatie,250,213
verkenning,250,184
korte,250,228
integrale,250,212
relevante,249,210
indicator,249,157
rente,249,140
vier,247,224
kaart,247,228
ouders,247,166
beide,246,223
belastingdienst,246,148
strategie,246,181
item,246,190
akkoord,245,192
bezien,245,226
leerlingen,244,148
rondom,243,225
begrotingsreserve,243,111
gelden,242,202
norm,242,198
bescherming,242,207
structurele,242,207
cbs,242,157
hierin,240,229
fase,240,171
eventuele,239,225
terrein,238,211
actieplan,238,173
mirt,238,84
belangrijkste,237,221
biedt,237,218
kleine,237,196
d66,237,187
sociaal,237,183
betalen,237,171
handhaving,237,179
status,236,208
bedraagt,236,202
gestegen,236,196
agentschap,236,152
leveren,235,220
toename,235,200
nadere,234,211
specifiek,234,217
vrouwen,234,121
vo,233,126
hulp,233,179
cda,233,202
tegemoetkoming,233,171
ruimtelijke,233,152
fund,232,152
sport,232,148
ervoor,232,223
plannen,232,188
reden,231,216
begrotingen,231,178
middel,231,216
loon,231,192
vertraging,231,185
volgens,230,209
vervoer,230,157
rechten,229,148
jongeren,229,161
pas,229,201
pilot,229,164
juridische,228,189
daarin,228,208
ingegaan,228,201
opstellen,228,215
rijksdienst,227,189
helft,227,183
figuur,227,165
hieronder,226,216
voldoen,226,212
vastgelegd,225,208
steun,225,177
structureel,225,191
afgesproken,225,202
betaald,225,194
gedurende,224,207
ultimo,224,135
primair,223,171
loopt,223,207
rivm,223,146
slotwet,223,180
herstel,222,169
hoogte,221,199
curaçao,220,134
uiterlijk,220,191
netto,220,94
mivd,219,82
kinderopvang,219,108
gezondheid,219,160
development,219,133
wetgeving,218,180
jaarlijkse,218,198
ondernemers,218,174
vormen,217,199
onderwerpen,217,174
bhos,217,126
kaders,217,180
actief,216,202
welzijn,216,166
inmiddels,216,208
examens,216,81
regels,215,152
relatie,215,189
uitgewerkt,215,205
praktijk,215,196
willen,215,176
gehouden,215,199
college,215,119
manier,214,200
veilig,214,187
knelpunten,214,181
toegenomen,214,176
schade,214,148
milieu,212,161
pagina,212,206
wijzigingen,212,172
beschikbare,212,193
kijken,212,185
departementale,212,164
tweeminutendebat,212,142
maatschappelijk,211,171
geleid,211,201
school,211,120
duo,211,109
uitbreiding,211,179
hgis,211,106
concrete,210,201
taak,209,186
mate,209,193
draagt,209,192
type,208,182
fraude,208,127
betreffen,207,188
wlz,207,69
tmd,207,88
voorzitter,206,106
prijsbijstelling,205,170
onderstaande,205,189
effect,205,180
markt,205,175
uitkeringen,204,147
aangenomen,204,185
luchtvaart,204,96
verklaring,203,139
co2,203,121
toegezegd,202,159
artikelonderdeel,202,126
betekent,200,189
vast,200,189
parlement,199,173
bedrijfsleven,199,158
voorbereiding,199,183
verwerkt,199,182
tijdig,199,166
uitgegeven,199,169
opleidingen,198,140
deels,198,171
jaarrekening,198,142
link,198,67
functie,197,163
invoering,197,167
aruba,197,120
momenteel,197,180
aanpassing,197,177
omgeving,197,159
wetgevingsoverleg,197,133
schuld,197,93
verklaard,196,166
wetenschap,195,152
waarvoor,195,185
media,195,115
controle,195,151
huis,195,113
bestaan,194,178
valt,194,172
verhoogd,194,161
slot,193,183
industrie,193,128
2e,193,139
bonaire,192,138
meerdere,192,176
culturele,192,125
verzoeken,192,104
leidt,192,175
gerapporteerd,192,157
dechargeverlening,192,114
betaling,191,152
schiphol,191,97
verplicht,190,154
meest,190,175
samenhang,190,177
stembiljet,190,56
weg,189,176
dient,189,175
onderwerp,189,179
bereikt,189,149
vijf,189,177
voorstellen,189,166
bestrijding,189,143
inter,189,150
elkaar,188,179
gegaan,188,183
ontwikkeld,188,175
artikelen,188,153
toegankelijkheid,188,142
bank,188,99
plafond,187,108
oekraïense,187,119
eerdere,186,164
gepubliceerd,186,171
instandhouding,185,115
werkgevers,185,132
digitalisering,185,155
prorail,185,84
publiek,184,152
verhoging,184,155
bedoeld,183,174
stelt,183,175
gewijzigde,183,151
gebaseerd,183,165
instroom,183,129
tegenrekening,183,56
spoor,183,111
kerndepartement,183,116
beleidsdoorlichting,182,92
aangepast,182,172
lange,182,154
russische,182,94
passiva,182,101
