prob__Reparations and Remembrance,prob__Modern & Everyday Racism,"prob__Colonial Exploitation, Slavery & Economic Inequality",prob__Uncategorised
0.00037823277,0.00040488946,0.0016591169,0.9997584
0.001940543,0.00027447377,0.8325029,0.99961567
0.0017249689,0.00063842704,0.9997515,0.9855496
0.0012588486,0.0019897362,0.99979895,0.97991896
0.0002885239,0.00043272015,0.0004865387,0.9996933
0.0017186889,0.0023844286,0.99926513,0.9971963
0.00034058094,0.0003392672,0.00047672214,0.99969757
0.00030476667,0.0003453997,0.00049008295,0.9996885
0.007785751,0.000781819,0.99987817,0.9365181
0.00046774495,0.00021803324,0.0015218405,0.99975866
0.0004440039,0.00023669009,0.0011100237,0.9997416
0.0005910416,0.00025674584,0.00188722,0.9997861
0.031781584,0.00026488004,0.37462622,0.99973005
0.001503779,0.0003392953,0.00023989125,0.999676
0.0007555525,0.000383442,0.00025367973,0.9996705
0.00043654072,0.00044715236,0.0003684117,0.99971014
0.0003814017,0.0005216559,0.00034619682,0.99970883
0.9998301,0.018191902,0.99948645,0.013187312
0.9997738,0.008509316,0.9994823,0.012280462
0.9997651,0.0066414773,0.9994313,0.01129623
0.0006902842,0.00022599738,0.00057283667,0.9997197
0.0005922774,0.00033580154,0.00038835904,0.99972016
0.0005947571,0.0003306126,0.00038994628,0.99971026
0.0004521708,0.00034371295,0.0003130841,0.99966085
0.0005921662,0.0002813492,0.0003326363,0.99965334
0.99913615,0.0004479207,0.025944363,0.982646
0.99984443,0.002242644,0.0018296335,0.674891
0.99983954,0.003761352,0.004440046,0.036492694
0.9998504,0.0020050807,0.0075565404,0.6990737
0.99970007,0.0039918837,0.0019775613,0.9089709
0.0002512699,0.00046995026,0.0007527142,0.99973303
0.005387781,0.0058119637,0.99931705,0.0022147063
0.010589736,0.011724357,0.9994754,0.0012302552
0.002554336,0.0071600694,0.9993393,0.002902952
0.00024982874,0.0018128935,0.0005979338,0.99974006
0.00029954722,0.0006957753,0.00031853662,0.9996823
0.0003330358,0.00043076318,0.00034730954,0.9996811
0.00059745746,0.0003082981,0.0003235907,0.9996431
0.99950826,0.0037240714,0.9995384,0.0066245464
0.9997967,0.0055202735,0.002364308,0.043076318
0.9997564,0.006179294,0.0037963812,0.018252594
0.6810565,0.0005245184,0.00031147522,0.99906355
0.99986553,0.003391282,0.0018024766,0.64174044
0.99983597,0.004046121,0.0057496005,0.02805972
0.9998369,0.0022738413,0.046314836,0.013072593
0.99955267,0.0009166098,0.99938524,0.060936753
0.0003505724,0.00036472702,0.0008770043,0.99975485
0.00027454837,0.00044634048,0.00060934504,0.9997203
0.00032892558,0.0003927488,0.00052636693,0.9997347
0.00031353874,0.00034231303,0.0006130879,0.999723
0.0002526999,0.00039735305,0.0012191393,0.9997614
0.0004540185,0.00044885417,0.0002836837,0.99968445
0.00045125687,0.00037971113,0.0003109195,0.99968004
0.00036104702,0.00038963248,0.00034036572,0.99966836
0.0021723867,0.0029625893,0.99897987,0.0040687406
0.0046610264,0.0026392846,0.99874663,0.0026884058
0.004860053,0.0020977056,0.998914,0.0031511935
0.0044381516,0.0018689192,0.9987979,0.0034380432
0.00037816734,0.00029414977,0.0006347449,0.9997265
0.0007349531,0.00030707134,0.00045722094,0.9997274
0.0007567977,0.0003048899,0.00036359078,0.9997112
0.0010891509,0.0003253434,0.00034725774,0.99970716
0.00045736975,0.00033372612,0.00048076996,0.9997414
0.00039635052,0.00038985486,0.0005139114,0.99972314
0.00038037956,0.00028599796,0.0004833457,0.99969447
0.00039683576,0.00033347835,0.00033489196,0.9996151
0.00039514253,0.000301507,0.00035770034,0.99962354
0.00324512,0.00230282,0.99959964,0.99669147
0.004554563,0.00010653173,0.97988564,0.99619055
0.00058232306,0.00016397846,0.0069720144,0.99964404
0.0020303233,0.001941987,0.99939775,0.007387948
0.001016519,0.00088368723,0.9998447,0.8517314
0.0016055782,0.0012012138,0.99987435,0.93851966
0.0008691164,0.0004260395,0.9997477,0.632723
0.0029195258,0.0024441981,0.99870753,0.0034116793
0.0039579216,0.00256472,0.9989053,0.003041896
0.0031778053,0.0022888603,0.9991066,0.003840168
0.00032661288,0.00081183464,0.03127263,0.99981314
0.0003090703,0.00039352232,0.00042168784,0.9996612
0.0035861353,0.0021061331,0.99991894,0.9714883
0.0039894236,0.0031424821,0.9989869,0.0025914095
0.0037703111,0.0029271883,0.9989812,0.002798363
0.003238356,0.0028915158,0.9990583,0.0031459106
0.00043220646,0.00036184763,0.00031406258,0.99966466
0.0016735673,0.0016046347,0.9995388,0.012293681
0.0014277657,0.00080529513,0.99950683,0.9884306
0.0004210042,0.0003925085,0.00030991272,0.99965894
0.00067953684,0.0008926866,0.22892955,0.99975246
0.0022086021,0.004410371,0.9994454,0.004187275
0.0022107793,0.0031373685,0.99927753,0.004395789
0.0036077609,0.0006330735,0.99973506,0.9846677
0.000476418,0.00032075145,0.0004986105,0.99968684
0.0005388455,0.0002673408,0.0023107976,0.9997229
0.00054769096,0.00033660958,0.0003163383,0.99969137
0.004777675,0.0010974271,0.9998555,0.04721197
0.006457316,0.0032307827,0.99896264,0.0020651133
0.0049316096,0.0030838137,0.9988695,0.0024047731
0.00384827,0.0016517901,0.99908376,0.004422821
0.0035973266,0.00094112946,0.9999124,0.9439755
0.0036884958,0.0012600607,0.9998888,0.9822832
