topic,term,weight,category,parent,cosine,df,is_seed
Contemporary_Manifestations,psychisch,0.95,strong_problem,systematisch,0.6506,2,0
Contemporary_Manifestations,psychologisch,0.95,strong_problem,systematisch,0.7059,5,0
Contemporary_Manifestations,psychologische,0.95,strong_problem,systematisch,0.6756,11,0
Contemporary_Manifestations,racismeprobleem,0.95,strong_problem,racismeprobleem,1.0,3,1
Contemporary_Manifestations,staatsrechtelijke,0.95,strong_problem,institutioneel,0.659,12,0
Contemporary_Manifestations,stage-discriminatie,0.95,strong_problem,stage-discriminatie,1.0,2,1
Contemporary_Manifestations,stagediscriminatie,0.95,strong_problem,stagediscriminatie,1.0,5,1
Contemporary_Manifestations,stagepact,0.95,strong_problem,stagediscriminatie,0.6874,8,0
Contemporary_Manifestations,stereotiep,0.95,strong_problem,stereotyperende,0.7583,2,0
Contemporary_Manifestations,stereotype,0.95,strong_problem,stereotypen,0.9455,6,0
Contemporary_Manifestations,stereotypen,0.95,strong_problem,stereotypen,1.0,9,1
Contemporary_Manifestations,stereotyperend,0.95,strong_problem,stereotyperende,0.9809,2,0
Contemporary_Manifestations,stereotyperende,0.95,strong_problem,stereotyperende,1.0,4,1
Contemporary_Manifestations,stereotypering,0.95,strong_problem,stereotyperingen,0.881,7,0
Contemporary_Manifestations,stereotyperingen,0.95,strong_problem,stereotyperingen,1.0,9,1
Contemporary_Manifestations,stereotypes,0.95,strong_problem,stereotypen,0.9651,3,0
Contemporary_Manifestations,surinaams,0.95,strong_problem,afro-surinaamse,0.6867,5,0
Contemporary_Manifestations,surinaamse,0.95,strong_problem,afro-surinaamse,0.781,128,0
Contemporary_Manifestations,surinamers,0.95,strong_problem,afro-surinamers,0.6827,22,0
Contemporary_Manifestations,system--the,0.95,strong_problem,systemische,0.7346,2,0
Contemporary_Manifestations,systematiek,0.95,strong_problem,systemische,0.8467,10,0
Contemporary_Manifestations,systematisch,0.95,strong_problem,systematisch,1.0,30,1
Contemporary_Manifestations,systematische,0.95,strong_problem,systematische,1.0,23,1
Contemporary_Manifestations,systemisch,0.95,strong_problem,systemisch,1.0,6,1
Contemporary_Manifestations,systemische,0.95,strong_problem,systemische,1.0,7,1
Contemporary_Manifestations,systems,0.95,strong_problem,systemische,0.796,2,0
Contemporary_Manifestations,territoriale,0.95,strong_problem,institutioneel,0.6976,2,0
Contemporary_Manifestations,thematisch,0.95,strong_problem,systematisch,0.6973,4,0
Contemporary_Manifestations,thematische,0.95,strong_problem,systematisch,0.6514,6,0
Contemporary_Manifestations,typerende,0.95,strong_problem,stereotyperende,0.6925,2,0
Contemporary_Manifestations,uitvoeringstechnisch,0.95,strong_problem,systemische,0.6567,2,0
Contemporary_Manifestations,verkenning,0.95,strong_problem,vooroordeel,0.6655,51,0
Contemporary_Manifestations,veronderstellingen,0.95,strong_problem,vooroordeel,0.6766,3,0
Contemporary_Manifestations,veroordeeld,0.95,strong_problem,vooroordeel,0.6798,30,0
Contemporary_Manifestations,veroordeelden,0.95,strong_problem,vooroordeel,0.6766,6,0
Contemporary_Manifestations,veroordelen,0.95,strong_problem,vooroordeel,0.7205,7,0
Contemporary_Manifestations,veroordeling,0.95,strong_problem,vooroordeel,0.6556,7,0
Contemporary_Manifestations,vlaamse,0.95,strong_problem,afro-surinaamse,0.7539,8,0
Contemporary_Manifestations,voorname,0.95,strong_problem,vooroordeel,0.6729,8,0
Contemporary_Manifestations,vooroordeel,0.95,strong_problem,vooroordeel,1.0,6,1
Contemporary_Manifestations,vooroordelen,0.95,strong_problem,vooroordeel,0.8325,26,0
Contemporary_Manifestations,voorwaarde,0.95,strong_problem,vooroordeel,0.6659,49,0
Contemporary_Manifestations,west-afrikaan,0.95,strong_problem,afro-surinaamse,0.6633,2,0
Contemporary_Manifestations,wetgevend,0.95,strong_problem,institutioneel,0.6601,2,0
Contemporary_Manifestations,wettelijke,0.95,strong_problem,institutioneel,0.6603,48,0
Contemporary_Manifestations,witte,0.95,strong_problem,zwarten,0.6754,195,0
Contemporary_Manifestations,zuid-nederlanders,0.95,strong_problem,afro-nederlanders,0.6695,3,0
Contemporary_Manifestations,zwart,0.95,strong_problem,anti-zwart,0.73,82,0
Contemporary_Manifestations,zwart-wit,0.95,strong_problem,anti-zwart,0.6792,4,0
Contemporary_Manifestations,zwarte,0.95,strong_problem,anti-zwart,0.7612,275,0
Contemporary_Manifestations,zwarten,0.95,strong_problem,zwarten,1.0,29,1
Contemporary_Manifestations,zwartheid,0.95,strong_problem,anti-zwart,0.6588,2,0
Contemporary_Manifestations,aansluitende,0.85,related_strong,uitsluiting,0.6642,2,0
Contemporary_Manifestations,antiracisme-golf,0.85,related_strong,anti-zwartracisme,0.6936,2,0
Contemporary_Manifestations,nationalistische,0.85,related_strong,racistische,0.6538,11,0
Contemporary_Manifestations,sluit,0.85,related_strong,uitsluiting,0.721,24,0
Contemporary_Manifestations,uitsluitende,0.85,related_strong,uitsluiting,0.693,4,0
Contemporary_Manifestations,discriminatiemelding,0.75,related_moderate,discriminatiemelding,1.0,2,1
Contemporary_Manifestations,discriminatiezaak,0.75,related_moderate,discriminatiezaken,0.9495,2,0
Contemporary_Manifestations,discriminatiezaken,0.75,related_moderate,discriminatiezaken,1.0,3,1
Contemporary_Manifestations,genderdiscriminatie,0.75,related_moderate,genderdiscriminatie,1.0,1,1
Contemporary_Manifestations,huidskleuren,0.75,related_moderate,huidskleuren,1.0,1,1
Contemporary_Manifestations,intolerantie,0.75,related_moderate,intolerantie,1.0,2,1
Contemporary_Manifestations,kleur,0.75,related_moderate,huidskleuren,0.6724,78,0
Contemporary_Manifestations,leeftijdsdiscriminatie,0.75,related_moderate,leeftijdsdiscriminatie,1.0,2,1
Contemporary_Manifestations,raciaal-etnische,0.75,related_moderate,raciaal-etnische,1.0,2,1
Contemporary_Manifestations,racismevormen,0.75,related_moderate,racismevormen,1.0,2,1
Contemporary_Manifestations,slotwet,0.75,related_moderate,uitsluitingswetten,0.6589,7,0
Contemporary_Manifestations,tolerantie,0.75,related_moderate,intolerantie,0.9417,11,0
Contemporary_Manifestations,uitsluitingswetten,0.75,related_moderate,uitsluitingswetten,1.0,1,1
Contemporary_Manifestations,xenofobie,0.75,related_moderate,xenofobie,1.0,2,1
Contemporary_Manifestations,zwangerschapsdiscriminatie,0.75,related_moderate,zwangerschapsdiscriminatie,1.0,2,1
Contemporary_Manifestations,antidiscriminatie-,0.55,era_context,discriminatie-,0.8744,2,0
Contemporary_Manifestations,antidiscriminatiebeleid,0.55,era_context,discriminatie-,0.7385,2,0
Contemporary_Manifestations,antidiscriminatiebureaus,0.55,era_context,discriminatie-,0.7096,2,0
Contemporary_Manifestations,antidiscriminatievoorzieningen,0.55,era_context,discriminatie-,0.7665,5,0
Contemporary_Manifestations,discriminatie-,0.55,era_context,discriminatie-,1.0,6,1
Contemporary_Manifestations,discriminatieverboden,0.55,era_context,discriminatie-,0.8313,2,0
Contemporary_Manifestations,non-discriminatiebepalingen,0.55,era_context,discriminatie-,0.7613,2,0
Historical_Slavery_Colonialism,afbetaling,1.0,core_problem,afschaffing,0.8064,3,0
Historical_Slavery_Colonialism,afbouw,1.0,core_problem,afschaffing,0.7737,5,0
Historical_Slavery_Colonialism,afdracht,1.0,core_problem,afschaffing,0.7983,5,0
Historical_Slavery_Colonialism,afgeven,1.0,core_problem,afschaffing,0.7528,5,0
Historical_Slavery_Colonialism,afhandeling,1.0,core_problem,afschaffing,0.7528,9,0
Historical_Slavery_Colonialism,afkeer,1.0,core_problem,afschaffing,0.7586,12,0
Historical_Slavery_Colonialism,afleggen,1.0,core_problem,afschaffing,0.7511,5,0
Historical_Slavery_Colonialism,aflossing,1.0,core_problem,afschaffing,0.7708,10,0
Historical_Slavery_Colonialism,aflossingen,1.0,core_problem,afschaffing,0.7727,3,0
Historical_Slavery_Colonialism,afname,1.0,core_problem,afschaffing,0.7663,15,0
Historical_Slavery_Colonialism,afnemen,1.0,core_problem,afschaffing,0.7859,6,0
Historical_Slavery_Colonialism,afrekening,1.0,core_problem,afschaffing,0.7755,2,0
Historical_Slavery_Colonialism,afschaffen,1.0,core_problem,afschaffing,0.7657,17,0
Historical_Slavery_Colonialism,afschaffing,1.0,core_problem,afschaffing,1.0,259,1
Historical_Slavery_Colonialism,afschaffingen,1.0,core_problem,afschaffing,0.8365,39,0
Historical_Slavery_Colonialism,afschaffingswet,1.0,core_problem,afschaffing,0.7685,2,0
Historical_Slavery_Colonialism,afstaan,1.0,core_problem,afschaffing,0.8208,3,0
Historical_Slavery_Colonialism,afzet,1.0,core_problem,afschaffing,0.7727,3,0
Historical_Slavery_Colonialism,anti-slavernij,1.0,core_problem,slavernij,0.8219,3,0
Historical_Slavery_Colonialism,buurkoloniën,1.0,core_problem,koloniën,0.838,2,0
Historical_Slavery_Colonialism,discriminatoire,1.0,core_problem,rassendiscriminatie,0.8051,4,0
Historical_Slavery_Colonialism,emancipatie,1.0,core_problem,emancipatie,1.0,123,1
Historical_Slavery_Colonialism,emancipatieplan,1.0,core_problem,emancipatie,0.7697,2,0
Historical_Slavery_Colonialism,emancipatieproces,1.0,core_problem,emancipatie,0.8893,7,0
Historical_Slavery_Colonialism,emancipatiewet,1.0,core_problem,emancipatie,0.7819,6,0
Historical_Slavery_Colonialism,ex-koloniën,1.0,core_problem,koloniën,0.8276,2,0
Historical_Slavery_Colonialism,kolonialisme,1.0,core_problem,kolonialisme,1.0,118,1
Historical_Slavery_Colonialism,kolonies,1.0,core_problem,koloniën,0.9668,6,0
Historical_Slavery_Colonialism,koloniën,1.0,core_problem,koloniën,1.0,278,1
Historical_Slavery_Colonialism,landbouwkoloniën,1.0,core_problem,koloniën,0.7771,2,0
Historical_Slavery_Colonialism,non-discriminatie,1.0,core_problem,rassendiscriminatie,0.7752,8,0
Historical_Slavery_Colonialism,omzetting,1.0,core_problem,afschaffing,0.7561,4,0
Historical_Slavery_Colonialism,plantaadje,1.0,core_problem,planters,0.8025,2,0
