topic,term,cosine,df,weight,category,parent,is_seed
Contemporary_Manifestations,arbeidersprotest,0.6974,2,0.9,strongly_related,arbeidsdiscriminatie,0
Contemporary_Manifestations,thematisch,0.6973,4,0.9,strongly_related,systematisch,0
Contemporary_Manifestations,intrekken,0.6971,2,1.0,core,uitsluiting,0
Contemporary_Manifestations,aaneenschakeling,0.6952,8,1.0,core,uitsluiting,0
Contemporary_Manifestations,afro-,0.6949,9,0.9,strongly_related,afro-surinamers,0
Contemporary_Manifestations,antiracisme-golf,0.6936,2,1.0,core,anti-zwartracisme,0
Contemporary_Manifestations,uitsluitende,0.693,4,1.0,core,uitsluiting,0
Contemporary_Manifestations,typerende,0.6925,2,0.9,strongly_related,stereotyperende,0
Contemporary_Manifestations,aantrekken,0.6914,13,1.0,core,uitsluiting,0
Contemporary_Manifestations,aangrenzende,0.691,2,1.0,core,uitsluiting,0
Contemporary_Manifestations,verstreken,0.6901,2,1.0,core,uitsluiting,0
Contemporary_Manifestations,afrikaanse,0.6893,235,0.9,strongly_related,afro-surinaamse,0
Contemporary_Manifestations,afgesloten,0.689,19,1.0,core,uitsluiting,0
Contemporary_Manifestations,interculturele,0.688,3,0.9,strongly_related,etnische,0
Contemporary_Manifestations,arbeidsgeschillenwet,0.6878,2,0.9,strongly_related,arbeidsdiscriminatie,0
Contemporary_Manifestations,ex-surinamers,0.6877,2,0.9,strongly_related,afro-surinamers,0
Contemporary_Manifestations,stagepact,0.6874,8,0.9,strongly_related,stagediscriminatie,0
Contemporary_Manifestations,surinaams,0.6867,5,0.9,strongly_related,afro-surinaamse,0
Contemporary_Manifestations,uitreden,0.6856,6,1.0,core,uitsluiting,0
Contemporary_Manifestations,arbeidsparticipatie,0.685,4,0.9,strongly_related,arbeidsdiscriminatie,0
Contemporary_Manifestations,gerechtelijk,0.6848,2,0.9,strongly_related,institutioneel,0
Contemporary_Manifestations,nederlands-vlaamse,0.684,2,0.9,strongly_related,afro-surinaamse,0
Contemporary_Manifestations,antilliaans,0.6835,8,0.9,strongly_related,afro-antillianen,0
Contemporary_Manifestations,grijze,0.6832,3,0.9,strongly_related,zwarten,0
Contemporary_Manifestations,surinamers,0.6827,22,0.9,strongly_related,afro-surinamers,0
Contemporary_Manifestations,uitroeiing,0.6825,3,1.0,core,uitsluiting,0
Contemporary_Manifestations,nederlanders,0.6821,279,0.9,strongly_related,afro-nederlanders,0
Contemporary_Manifestations,veroordeeld,0.6798,30,0.9,strongly_related,vooroordeel,0
Contemporary_Manifestations,uitstrekt,0.6798,4,1.0,core,uitsluiting,0
Contemporary_Manifestations,anti-,0.6796,7,0.9,strongly_related,anti-zwart,0
Contemporary_Manifestations,afkeer,0.6793,12,1.0,core,uitsluiting,0
Contemporary_Manifestations,zwart-wit,0.6792,4,0.9,strongly_related,anti-zwart,0
Contemporary_Manifestations,paars,0.6785,2,0.9,strongly_related,zwarten,0
Contemporary_Manifestations,afro-curaçaose,0.6782,2,0.9,strongly_related,afro-caribische,0
Contemporary_Manifestations,amerikaans,0.6777,3,0.9,strongly_related,etnische,0
Contemporary_Manifestations,voortrekken,0.6773,2,1.0,core,uitsluiting,0
Contemporary_Manifestations,opvatting,0.6771,26,0.9,strongly_related,vooroordeel,0
Contemporary_Manifestations,veronderstellingen,0.6766,3,0.9,strongly_related,vooroordeel,0
Contemporary_Manifestations,veroordeelden,0.6766,6,0.9,strongly_related,vooroordeel,0
Contemporary_Manifestations,uitnodigen,0.6765,2,1.0,core,uitsluiting,0
Contemporary_Manifestations,latijns-amerika,0.6761,10,0.9,strongly_related,etnische,0
Contemporary_Manifestations,amerikaanse,0.6759,74,0.9,strongly_related,etnische,0
Contemporary_Manifestations,arbeidsuitbuiting,0.6758,3,0.9,strongly_related,arbeidsdiscriminatie,0
Contemporary_Manifestations,niet-witte,0.6757,4,0.9,strongly_related,anti-zwart,0
Contemporary_Manifestations,psychologische,0.6756,11,0.9,strongly_related,systematisch,0
Contemporary_Manifestations,uitge-,0.6754,8,1.0,core,uitsluiting,0
Contemporary_Manifestations,witte,0.6754,195,0.9,strongly_related,zwarten,0
Contemporary_Manifestations,blank,0.675,7,0.9,strongly_related,zwarten,0
Contemporary_Manifestations,aziatisch,0.6736,4,0.9,strongly_related,etnische,0
Contemporary_Manifestations,arbeidsdwang,0.6733,4,0.9,strongly_related,arbeidsdiscriminatie,0
Contemporary_Manifestations,landse,0.6732,41,0.9,strongly_related,afro-surinaamse,0
Contemporary_Manifestations,voorname,0.6729,8,0.9,strongly_related,vooroordeel,0
Contemporary_Manifestations,uitmaken,0.6729,20,1.0,core,uitsluiting,0
Contemporary_Manifestations,amerikanen,0.6726,14,0.9,strongly_related,etnische,0
Contemporary_Manifestations,kleur,0.6724,78,0.7,moderately_related,huidskleuren,0
Contemporary_Manifestations,bloedens,0.6707,2,0.9,strongly_related,zwarten,0
Contemporary_Manifestations,caribisch,0.6697,340,0.9,strongly_related,afro-caribische,0
Contemporary_Manifestations,uitlatingen,0.6696,2,1.0,core,uitsluiting,0
Contemporary_Manifestations,zuid-nederlanders,0.6695,3,0.9,strongly_related,afro-nederlanders,0
Contemporary_Manifestations,wit,0.668,58,0.9,strongly_related,zwarten,0
Contemporary_Manifestations,uitbannen,0.6677,6,1.0,core,uitsluiting,0
Contemporary_Manifestations,noord-afrikaanse,0.6666,7,0.9,strongly_related,afro-surinaamse,0
Contemporary_Manifestations,aziatische,0.6662,59,0.9,strongly_related,etnische,0
Contemporary_Manifestations,opluchting,0.6661,2,1.0,core,uitsluiting,0
Contemporary_Manifestations,voorwaarde,0.6659,49,0.9,strongly_related,vooroordeel,0
Contemporary_Manifestations,verkenning,0.6655,51,0.9,strongly_related,vooroordeel,0
Contemporary_Manifestations,aangesloten,0.6653,13,1.0,core,uitsluiting,0
Contemporary_Manifestations,antikoloniale,0.6653,7,0.9,strongly_related,afro-antillianen,0
Contemporary_Manifestations,oost-afrika,0.6649,3,0.9,strongly_related,afro-surinaamse,0
Contemporary_Manifestations,aansluitende,0.6642,2,1.0,core,uitsluiting,0
Contemporary_Manifestations,nederlanden,0.664,79,0.9,strongly_related,afro-nederlanders,0
Contemporary_Manifestations,west-afrikaan,0.6633,2,0.9,strongly_related,afro-surinaamse,0
Contemporary_Manifestations,uitstek,0.663,13,1.0,core,uitsluiting,0
Contemporary_Manifestations,uitbreken,0.6625,15,1.0,core,uitsluiting,0
Contemporary_Manifestations,wettelijke,0.6603,48,0.9,strongly_related,institutioneel,0
Contemporary_Manifestations,afzet,0.6602,3,1.0,core,uitsluiting,0
Contemporary_Manifestations,wetgevend,0.6601,2,0.9,strongly_related,institutioneel,0
Contemporary_Manifestations,uitvoe-,0.66,4,1.0,core,uitsluiting,0
Contemporary_Manifestations,belgische,0.6599,5,0.9,strongly_related,afro-surinaamse,0
Contemporary_Manifestations,uit-,0.6597,31,1.0,core,uitsluiting,0
Contemporary_Manifestations,staatsrechtelijke,0.659,12,0.9,strongly_related,institutioneel,0
Contemporary_Manifestations,uitging,0.659,4,1.0,core,uitsluiting,0
Contemporary_Manifestations,slotwet,0.6589,7,0.7,moderately_related,uitsluitingswetten,0
Contemporary_Manifestations,zwartheid,0.6588,2,0.9,strongly_related,anti-zwart,0
Contemporary_Manifestations,onttrekken,0.6584,4,1.0,core,uitsluiting,0
Contemporary_Manifestations,uitvoeringstechnisch,0.6567,2,0.9,strongly_related,systemische,0
Contemporary_Manifestations,blinde,0.6563,16,0.9,strongly_related,zwarten,0
Contemporary_Manifestations,veroordeling,0.6556,7,0.9,strongly_related,vooroordeel,0
Contemporary_Manifestations,onthulling,0.6555,6,1.0,core,uitsluiting,0
Contemporary_Manifestations,uitwerking,0.6553,50,1.0,core,uitsluiting,0
Contemporary_Manifestations,uitdragen,0.655,6,1.0,core,uitsluiting,0
Contemporary_Manifestations,arbeidsregime,0.6544,2,0.9,strongly_related,arbeidsdiscriminatie,0
Contemporary_Manifestations,afro-afstam-,0.6541,2,0.9,strongly_related,afro-caribische,0
Contemporary_Manifestations,nationalistische,0.6538,11,1.0,core,racistische,0
Contemporary_Manifestations,grondwettelijke,0.6537,5,0.9,strongly_related,institutioneel,0
Contemporary_Manifestations,uitwisselingen,0.6534,3,1.0,core,uitsluiting,0
Contemporary_Manifestations,uitgezet,0.6532,7,1.0,core,uitsluiting,0
Contemporary_Manifestations,opgesloten,0.6532,14,1.0,core,uitsluiting,0
Contemporary_Manifestations,autoritair,0.6528,2,0.9,strongly_related,institutioneel,0
Contemporary_Manifestations,noord-afrika,0.6528,4,0.9,strongly_related,afro-surinaamse,0
Contemporary_Manifestations,nederlands-caribische,0.6527,8,0.9,strongly_related,afro-caribische,0
Contemporary_Manifestations,donker,0.6526,11,0.9,strongly_related,zwarten,0
Contemporary_Manifestations,thematische,0.6514,6,0.9,strongly_related,systematisch,0
Contemporary_Manifestations,uitstel,0.6511,3,1.0,core,uitsluiting,0
Contemporary_Manifestations,geoordeeld,0.6508,5,0.9,strongly_related,vooroordeel,0
Contemporary_Manifestations,psychisch,0.6506,2,0.9,strongly_related,systematisch,0
Contemporary_Manifestations,inlandse,0.6499,2,0.9,strongly_related,afro-surinaamse,0
Contemporary_Manifestations,arbeidsconflict,0.6497,5,0.9,strongly_related,arbeidsdiscriminatie,0
Contemporary_Manifestations,typerend,0.6495,6,0.9,strongly_related,stereotyperende,0
Contemporary_Manifestations,buitenlanders,0.6493,10,0.9,strongly_related,afro-surinaamse,0
Contemporary_Manifestations,zuid-afrikaanse,0.6485,4,0.9,strongly_related,afro-surinaamse,0
Contemporary_Manifestations,west-afrikaanse,0.6485,27,0.9,strongly_related,afro-surinaamse,0
Contemporary_Manifestations,problematische,0.6479,4,0.9,strongly_related,systematische,0
Contemporary_Manifestations,arbeidsomstandigheden,0.6478,8,0.9,strongly_related,arbeidsdiscriminatie,0
Contemporary_Manifestations,aannames,0.6477,10,0.9,strongly_related,vooroordeel,0
Contemporary_Manifestations,arbeidsvoorwaarden,0.6459,5,0.9,strongly_related,arbeidsdiscriminatie,0
Contemporary_Manifestations,buitenlandse,0.6456,87,0.9,strongly_related,afro-surinaamse,0
Contemporary_Manifestations,stage-,0.6455,2,0.9,strongly_related,stage-discriminatie,0
Contemporary_Manifestations,psychische,0.6454,14,0.9,strongly_related,systematisch,0
Contemporary_Manifestations,veronderstelling,0.6452,14,0.9,strongly_related,vooroordeel,0
Contemporary_Manifestations,commissariaat,0.6446,2,0.9,strongly_related,institutioneel,0
Contemporary_Manifestations,afrika,0.6442,231,0.9,strongly_related,afro-surinaamse,0
Contemporary_Manifestations,kleuren,0.6439,5,0.7,moderately_related,huidskleuren,0
Contemporary_Manifestations,witsen,0.6436,3,0.9,strongly_related,zwarten,0
Contemporary_Manifestations,middellandse,0.6435,7,0.9,strongly_related,afro-surinaamse,0
Contemporary_Manifestations,cultureel-politieke,0.6433,4,1.0,core,structureel racisme,0
Contemporary_Manifestations,tegenstellingen,0.6429,12,0.9,strongly_related,vooroordeel,0
Contemporary_Manifestations,nederlands-antilliaanse,0.6425,10,0.9,strongly_related,afro-antillianen,0
Contemporary_Manifestations,zuid-amerikaanse,0.6406,11,0.9,strongly_related,afro-surinaamse,0
Contemporary_Manifestations,pragmatisch,0.6398,3,0.9,strongly_related,systematisch,0
Contemporary_Manifestations,arbeidsmigratie,0.6392,3,0.9,strongly_related,arbeidsdiscriminatie,0
Contemporary_Manifestations,ontsluiten,0.639,6,1.0,core,uitsluitingsmechanismen,0
Contemporary_Manifestations,arbeidsmigranten,0.6378,4,0.9,strongly_related,arbeidsdiscriminatie,0
Contemporary_Manifestations,arbeidsbemiddeling,0.6371,5,0.9,strongly_related,arbeidsdiscriminatie,0
Contemporary_Manifestations,nationaal,0.637,127,0.9,strongly_related,afro-surinaamse,0
Contemporary_Manifestations,nationalistisch,0.6369,2,0.9,strongly_related,etnische,0
Contemporary_Manifestations,gevoeligheid,0.6365,4,0.7,moderately_related,intolerantie,0
Contemporary_Manifestations,west-afrika,0.6359,41,0.9,strongly_related,afro-surinaamse,0
Contemporary_Manifestations,intra-aziatische,0.6353,3,0.7,moderately_related,raciaal-etnische,0
Contemporary_Manifestations,midden-afrika,0.6348,3,0.9,strongly_related,afro-surinaamse,0
Contemporary_Manifestations,niet-westerse,0.6328,12,0.9,strongly_related,etnische,0
Contemporary_Manifestations,arbeidsovereenkomsten,0.6326,2,0.9,strongly_related,arbeidsdiscriminatie,0
Contemporary_Manifestations,anti-vooroordelen,0.6323,2,0.9,strongly_related,vooroordeel,0
Contemporary_Manifestations,surinaamsche,0.6322,15,0.9,strongly_related,afro-surinaamse,0
Contemporary_Manifestations,tolerant,0.6321,4,0.7,moderately_related,intolerantie,0
Contemporary_Manifestations,aziaten,0.6315,12,0.9,strongly_related,etnische,0
Contemporary_Manifestations,zwangerschap,0.6299,11,0.7,moderately_related,zwangerschapsdiscriminatie,0
Contemporary_Manifestations,sociaal-culturele,0.6296,5,1.0,core,structureel racisme,0
Contemporary_Manifestations,nederlanderschap,0.6294,3,0.9,strongly_related,afro-nederlanders,0
Contemporary_Manifestations,afrikaans,0.6292,3,0.9,strongly_related,etnische,0
Contemporary_Manifestations,bloede,0.6287,2,0.9,strongly_related,zwarten,0
Contemporary_Manifestations,rechtvaardige,0.6286,13,0.9,strongly_related,institutioneel,0
Contemporary_Manifestations,typeren,0.6284,2,0.9,strongly_related,stereotyperende,0
Contemporary_Manifestations,nederland-,0.6284,3,0.9,strongly_related,afro-surinaamse,0
Contemporary_Manifestations,proportioneel,0.6283,3,0.9,strongly_related,institutioneel,0
