topic,term,cosine,df,weight,category,parent,is_seed
Historical_Slavery_Colonialism,schip,0.8541,143,0.9,strongly_related,slavenschip,0
Historical_Slavery_Colonialism,kaperschip,0.8532,3,0.9,strongly_related,slavenschip,0
Historical_Slavery_Colonialism,plantagehouders,0.8529,11,1.0,core,plantage-eigenaren,0
Historical_Slavery_Colonialism,slavernijpolitiek,0.8498,2,0.7,moderately_related,slavernijsysteem,0
Historical_Slavery_Colonialism,slavenbezitters,0.8489,2,0.9,strongly_related,slavenhandelaren,0
Historical_Slavery_Colonialism,geschiedenissen,0.8485,17,0.3,context,geschiedenis,0
Historical_Slavery_Colonialism,planterssamenleving,0.8473,2,0.9,strongly_related,plantagesamenleving,0
Historical_Slavery_Colonialism,plantage-,0.8468,9,1.0,core,plantagesysteem,0
Historical_Slavery_Colonialism,slavenverkoop,0.8438,3,0.9,strongly_related,slavenmarkt,0
Historical_Slavery_Colonialism,kaperschepen,0.8426,2,0.9,strongly_related,slavenschepen,0
Historical_Slavery_Colonialism,co-kolonisten,0.8424,2,0.9,strongly_related,kolonisten,0
Historical_Slavery_Colonialism,slavernijverle-,0.8416,3,1.0,core,slavernij,0
Historical_Slavery_Colonialism,slaveneigenaars,0.8408,4,0.9,strongly_related,slavenhouders,0
Historical_Slavery_Colonialism,slavenemancipatie,0.8399,6,1.0,core,emancipatie,0
Historical_Slavery_Colonialism,buurkoloniën,0.838,2,1.0,core,koloniën,0
Historical_Slavery_Colonialism,plantagekoloniën,0.8372,20,0.7,moderately_related,plantagekolonie,0
Historical_Slavery_Colonialism,afschaffingen,0.8365,39,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,prioriteit,0.8354,18,0.9,strongly_related,superioriteit,0
Historical_Slavery_Colonialism,schepenen,0.8341,6,0.9,strongly_related,slavenschepen,0
Historical_Slavery_Colonialism,verschaffen,0.8305,10,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,plantagehouder,0.8293,4,1.0,core,planters,0
Historical_Slavery_Colonialism,smokkelschepen,0.8281,2,0.9,strongly_related,slavenschepen,0
Historical_Slavery_Colonialism,plantagewerk,0.8277,2,1.0,core,plantagesysteem,0
Historical_Slavery_Colonialism,ex-koloniën,0.8276,2,1.0,core,koloniën,0
Historical_Slavery_Colonialism,suikerplanters,0.8271,3,0.9,strongly_related,suikerplantages,0
Historical_Slavery_Colonialism,dwangarbeiders,0.827,8,0.9,strongly_related,dwangarbeid,0
Historical_Slavery_Colonialism,totslaafgemaakten,0.8229,3,1.0,core,slaafgemaakten,0
Historical_Slavery_Colonialism,slavernijdebat,0.8225,2,1.0,core,slavernij,0
Historical_Slavery_Colonialism,dekoloniaal,0.8224,2,0.9,strongly_related,koloniale,0
Historical_Slavery_Colonialism,anti-slavernij,0.8219,3,1.0,core,slavernij,0
Historical_Slavery_Colonialism,postkoloniaal,0.8211,4,0.9,strongly_related,koloniale,0
Historical_Slavery_Colonialism,slavernijperiode,0.8209,4,1.0,core,slavernijverleden,0
Historical_Slavery_Colonialism,afstaan,0.8208,3,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,slavenkopers,0.8203,2,0.9,strongly_related,slavenhandelaren,0
Historical_Slavery_Colonialism,slavenmakers,0.818,4,0.9,strongly_related,slavenhouders,0
Historical_Slavery_Colonialism,plantagegebieden,0.8141,7,1.0,core,plantagesysteem,0
Historical_Slavery_Colonialism,voc-vestigingen,0.814,2,1.0,core,voc,0
Historical_Slavery_Colonialism,plantagegronden,0.8137,2,1.0,core,plantagesysteem,0
Historical_Slavery_Colonialism,plantagegebied,0.8128,4,1.0,core,plantagesysteem,0
Historical_Slavery_Colonialism,slavenopstanden,0.8124,12,0.7,moderately_related,slavenopstand,0
Historical_Slavery_Colonialism,plantageleven,0.8122,5,0.9,strongly_related,plantagesamenleving,0
Historical_Slavery_Colonialism,slavendrijvers,0.8113,2,0.9,strongly_related,slavenhouders,0
Historical_Slavery_Colonialism,plantages,0.8109,214,0.9,strongly_related,plantagesamenleving,0
Historical_Slavery_Colonialism,plantageadministratie,0.8106,3,1.0,core,plantage-eigenaren,0
Historical_Slavery_Colonialism,kaapkolonie,0.8093,9,0.9,strongly_related,kolonie,0
Historical_Slavery_Colonialism,koffiebomen,0.8081,2,0.9,strongly_related,koffieplantage,0
Historical_Slavery_Colonialism,plantagesector,0.8064,5,0.7,moderately_related,plantage-economie,0
Historical_Slavery_Colonialism,afbetaling,0.8064,3,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,discriminatoire,0.8051,4,1.0,core,rassendiscriminatie,0
Historical_Slavery_Colonialism,slavernijcomplex,0.8044,2,0.7,moderately_related,slavernijsysteem,0
Historical_Slavery_Colonialism,plantage,0.804,134,1.0,core,plantagesysteem,0
Historical_Slavery_Colonialism,wic-bezit,0.804,2,1.0,core,wic,0
Historical_Slavery_Colonialism,plantageslaven,0.8032,5,1.0,core,planters,0
Historical_Slavery_Colonialism,plantaadje,0.8025,2,1.0,core,planters,0
Historical_Slavery_Colonialism,hiërarchieën,0.8015,2,0.9,strongly_related,hiërarchie,0
Historical_Slavery_Colonialism,slavenverstand,0.8005,3,1.0,core,slaven,0
Historical_Slavery_Colonialism,koopvaardijschepen,0.8002,2,0.9,strongly_related,slavenschepen,0
Historical_Slavery_Colonialism,slavenverleden,0.7993,2,1.0,core,slavernijverleden,0
Historical_Slavery_Colonialism,voorgeschiedenis,0.7989,5,0.3,context,geschiedenis,0
Historical_Slavery_Colonialism,afdracht,0.7983,5,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,slavin,0.7968,7,1.0,core,slaven,0
Historical_Slavery_Colonialism,suikerteelt,0.7965,2,0.9,strongly_related,suikerplantages,0
Historical_Slavery_Colonialism,vroeg-koloniale,0.7961,2,0.9,strongly_related,koloniale,0
