topic,term,cosine,df,weight,category,parent,is_seed,phase1_decision,phase1_reason,phase2_flag,phase2_priority,phase3_decision,phase3_action,phase4_decision,phase4_action,phase4_old_category,phase4_old_weight,phase5_adjustment,phase5_reason,weight_bin
Contemporary_Manifestations,afsluiting,0.8345,5,1.0,core,uitsluiting,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,vooroordelen,0.8325,26,0.9,strongly_related,vooroordeel,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,discriminatieverboden,0.8313,2,0.4,context,discriminatie-,0,KEEP,,,0,KEEP,,KEEP,,context,0.4,0.0,,0.50-0.59
Contemporary_Manifestations,formeel-systemisch,0.8287,2,0.9,strongly_related,systemisch,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,niet-zwarte,0.8267,2,0.9,strongly_related,anti-zwart,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,afsluit,0.8259,2,1.0,core,uitsluiting,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,oordeel,0.8147,56,0.9,strongly_related,vooroordeel,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,insluiting,0.8129,6,1.0,core,uitsluiting,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,racism,0.8113,5,1.0,core,racisme,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,afsluiten,0.799,9,1.0,core,uitsluiting,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,uitsluitsel,0.7966,3,1.0,core,uitsluiting,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,systems,0.796,2,0.9,strongly_related,systemische,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,aansluiten,0.7948,20,1.0,core,uitsluiting,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,racist,0.7901,2,1.0,core,racistische,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,antillianen,0.7893,9,0.9,strongly_related,afro-antillianen,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,surinaamse,0.781,128,0.9,strongly_related,afro-surinaamse,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,instituties,0.7795,25,0.9,strongly_related,institutioneel,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,sluiten,0.7713,51,1.0,core,uitsluiting,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,antidiscriminatievoorzieningen,0.7665,5,0.4,context,discriminatie-,0,KEEP,,,0,KEEP,,KEEP,,context,0.4,0.0,,0.50-0.59
Contemporary_Manifestations,uitsluiten,0.7657,6,1.0,core,uitsluiting,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,oordelen,0.765,12,0.9,strongly_related,vooroordeel,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
